01/01	Mary, Mother of God
01/02	Ss Basil the Great and Gregory Nazianzen, Bishops, Doctors
01/03	Most Holy Name of Jesus
01/04	St Elizabeth Ann Seton, Religious
01/05	St John Neumann, Bishop
01/06	St André Bessette, Religious
01/07	St Raymond of Penyafort, Priest
01/13	St Hilary, Bishop, Doctor
01/17	St Anthony, Abbot
01/20	St Fabian, Pope, Martyr
01/20	St Sebastian, Martyr
01/21	St Agnes, Virgin, Martyr
01/23	St Vincent, Deacon, Martyr
01/24	St Francis de Sales, Bishop, Doctor
01/25	Conversion of St Paul, Apostle
01/26	Ss Timothy and Titus, Bishops
01/27	St Angela Merici, Virgin
01/28	St Thomas Aquinas, Priest, Doctor
01/31	St John Bosco, Priest
02/02	Presentation of the Lord (Candlemas)
02/03	St Blaise, Bishop, Martyr
02/03	St Ansgar, Bishop
02/05	St Agatha, Virgin, Martyr
02/06	St Paul Miki & Companions, Martyrs
02/08	St Jerome Emiliani
02/08	St Josephine Bakhita, Virgin
02/10	St Scholastica, Virgin
02/11	Our Lady of Lourdes
02/14	Ss Cyril, Monk, and Methodius, Bishop
02/17	The Seven Holy Founders of the Servite Order
02/21	St Peter Damian, Bishop, Doctor
02/22	The Chair of Saint Peter, Apostle
02/23	St Polycarp, Bishop, Martyr
03/03	St Katharine Drexel, Virgin
03/04	St Casimir
03/07	Ss Perpetua & Felicity, Martyrs
03/08	St John of God, Religious
03/09	St Frances of Rome, Religious
03/17	St Patrick, Bishop
03/18	St Cyril of Jerusalem, Bishop, Doctor
03/19	St Joseph, Spouse of our Lady
03/23	St Turibius of Mogrovejo, Bishop
03/25	Annunciation to our Lady
04/02	St Francis of Paola, Hermit
04/04	St Isidore, Bishop, Doctor
04/05	St Vincent Ferrer, Priest
04/07	St John Baptist de la Salle, Priest
04/11	St Stanislaus, Bishop, Martyr
04/13	St Martin I, Pope, Martyr
04/21	St Anselm, Bishop, Doctor
04/23	St George, Martyr
04/24	St Fidelis of Sigmaringen, Priest, Martyr
04/25	St Mark, Evangelist
04/28	St Peter Chanel, Priest, Martyr
04/28	St Louis Grignion de Montfort, Priest
04/29	St Catherine of Siena, Virgin, Doctor
04/30	St Pius V, Pope
05/01	St Joseph the Worker
05/02	St Athanasius, Bishop, Doctor
05/03	Ss Philip & James, Apostles
05/10	St Damien de Veuster, Priest
05/12	Ss Nereus & Achilleus, Martyrs
05/12	St Pancras, Martyr
05/13	Our Lady of Fatima
05/14	St Matthias, Apostle
05/15	St Isidore
05/18	St John I, Pope, Martyr
05/20	St Bernardine of Siena, Priest
05/21	St Christopher Magallanes, Priest, & Companions, Martyrs
05/22	St Rita of Cascia, Religious
05/25	St Bede the Venerable, Priest, Doctor
05/25	St Gregory VII, Pope
05/25	St Mary Magdalene de’ Pazzi, Virgin
05/26	St Philip Neri, Priest
05/27	St Augustine of Canterbury, Bishop
05/31	Visitation of our Lady
06/01	St Justin, Martyr
06/02	Ss Marcellinus & Peter, Martyrs
06/03	St Charles Lwanga & Companions, Martyrs
06/05	St Boniface, Bishop, Martyr
06/06	St Norbert, Bishop
06/09	St Ephrem, Deacon, Doctor
06/11	St Barnabas, Apostle
06/13	St Anthony of Padua, Priest, Doctor
06/19	St Romuald, Abbot
06/21	St Aloysius Gonzaga, Religious
06/22	St Paulinus of Nola, Bishop
06/22	Ss John Fisher, Bishop, & Thomas More, Martyrs
