Seq,Reference,PropersID,Year,Brief Description of Reading
1,"Gen 1:1-2:2 or 1:1, 26-31a",Easter Vigil (1st Reading),ABC,First Story of Creation
2,Gen 2:7-9; 3:1-7,1st Sunday of Lent,A,Second Story of Creation
3,Gen 2:18-24,27th Sunday in Ordinary Time,B,Creation of Woman as a Partner for Man
4,Gen 3:9-15,10th Sunday in Ordinary Time,B,"Fall of Adam and Eve, and the Curse of the Serpent"
5,"Gen 3:9-15, 20",Dec 8: Immaculate Conception of the BVMary,,"Fall of Adam and Eve, and the Curse of the Serpent"
6,Gen 9:8-15,1st Sunday of Lent,B,God's Covenant with Noah
7,Gen 11:1-9,Pentecost Sunday: Vigil Mass (Option 1),ABC,Tower of Babel
8,Gen 12:1-4a,2nd Sunday of Lent,A,Call of Abram
9,Gen 14:18-20,Sunday after Trinity Sun: Body & Blood of Christ,C,"Melchizedek Offers Bread and Wine, and Blesses Abram"
10,Gen 15:1-6; 21:1-3,Sunday in Octave of Christmas: Holy Family (Opt. B),B,God's Covenant with Abraham; Birth of Isaac
11,"Gen 15:5-12, 17-18",2nd Sunday of Lent,C,God's Covenant with Abram
12,Gen 18:1-10a,16th Sunday in Ordinary Time,C,Abraham's Three Visitors at Mamre
13,Gen 18:20-32,17th Sunday in Ordinary Time,C,Abraham Intercedes for Sodom
14,"Gen 22:1-2, 9a, 10-13, 15-18",2nd Sunday of Lent,B,Testing of Abraham (Sacrifice of Isaac)
15,"Gen 22:1-18 or 22:1-2, 9a, 10-13, 15-18",Easter Vigil (2nd Reading),ABC,Testing of Abraham
16,"Exod 3:1-8a, 13-15",3rd Sunday of Lent,C,Burning Bush and the Call of Moses
17,"Exod 12:1-8, 11-14",Holy Thursday: Mass of the Lord's Supper,ABC,Prescriptions for the Passover Ritual
18,Exod 14:15-15:1,Easter Vigil (3rd Reading),ABC,Exodus
19,"Exod 15:1-2, 3-4, 5-6, 17-18",Easter Vigil (3rd Response),ABC,Israelites' Song of Victory over Pharaoh's Army
20,"Exod 16:2-4, 12-15",18th Sunday in Ordinary Time,B,Manna and Quail in the Desert
21,Exod 17:3-7,3rd Sunday of Lent,A,Moses Strikes Water from the Rock in Horeb
22,Exod 17:8-13,29th Sunday in Ordinary Time,C,Moses Prays as Joshua Battles Amalek
23,Exod 19:2-6a,11th Sunday in Ordinary Time,A,Israelites Arrive at Mount Sinai; God Speaks to Moses
24,"Exod 19:3-8a, 16-20b",Pentecost Sunday: Vigil Mass (Option 2),ABC,Arrival and Theophany at Sinai
25,"Exod 20:1-17 or 20:1-3, 7-8, 12-17",3rd Sunday of Lent,B,Ten Commandments
26,Exod 22:20-26,30th Sunday in Ordinary Time,A,"Laws to Protect Aliens, Widows, Orphans, and the Poor"
27,Exod 24:3-8,Sunday after Trinity Sun: Body & Blood of Christ,B,Ratification of the Covenant with Blood
28,"Exod 32:7-11, 13-14",24th Sunday in Ordinary Time,C,Golden Calf and Moses' Prayer for the People
29,"Exod 34:4b-6, 8-9",Sunday after Pentecost: Holy Trinity,A,Moses Encounters the Lord Again on Mount Sinai
30,"Lev 13:1-2, 44-46",6th Sunday in Ordinary Time,B,Regulations Concerning Leprosy
31,"Lev 19:1-2, 17-18",7th Sunday in Ordinary Time,A,Be Holy as God Is Holy; Love Your Neighbor as Yourself
32,Num 6:22-27,"Jan. 1: Mary, Mother of God",ABC,Priestly Blessing of Aaron
33,Num 11:25-29,26th Sunday in Ordinary Time,B,God's Spirit Comes upon 70 Elders
34,Num 21:4b-9,Sept 14: Exaltation of the Holy Cross,,Moses Lifts Up a Bronze Serpent
35,"Deut 4:1-2, 6-8",22nd Sunday in Ordinary Time,B,Moses Calls the People to Keep God's Commands
36,"Deut 4:32-34, 39-40",Sunday after Pentecost: Holy Trinity,B,Proofs of God's Care for the People
37,Deut 5:12-15,9th Sunday in Ordinary Time,B,Keep Holy the Sabbath Day
38,Deut 6:2-6,31st Sunday in Ordinary Time,B,"Hear, O Israel." (Great Commandment)"
39,Deut 7:6-11,Friday after 2nd Sun after Pentecost: Sacred Heart,A,God's Love for His Chosen Nation
40,"Deut 8:2-3, 14b-16a",Sunday after Trinity Sun: Body & Blood of Christ,A,God Fed You with Manna for 40 Years
41,"Deut 11:18, 26-28, 32",9th Sunday in Ordinary Time,A,Blessings/Curses for Obeying/Rejecting God's Commandments
42,Deut 18:15-20,4th Sunday in Ordinary Time,B,God Will Raise Up a Prophet Like Moses
43,Deut 26:4-10,1st Sunday of Lent,C,Thank Offerings for the Harvest
44,Deut 30:10-14,15th Sunday in Ordinary Time,C,"God's Commands Are Not Remote, but Near"
45,"Josh 5:9a, 10-12",4th Sunday of Lent,C,Passover at Gilgal and the Cessation of Manna
46,"Josh 24:1-2a, 15-17, 18b",21st Sunday in Ordinary Time,B,Joshua Calls the People to Serve the Lord
47,"1 Sam 1:20-22, 24-28",Sunday in Octave of Christmas: Holy Family (Opt. C),C,"Hannah Offers Her Son, Samuel, to God"
48,"1 Sam 3:3b-10, 19",2nd Sunday in Ordinary Time,B,God's Revelation to Young Samuel
49,"1 Sam 16:1b, 6-7, 10-13a",4th Sunday of Lent,A,Samuel Anoints David in Bethlehem
50,"1 Sam 26:2, 7-9, 12-13, 22-23",7th Sunday in Ordinary Time,C,David Spares the Life of Saul
51,2 Sam 5:1-3,34th Sunday in Ord. Time: Christ the King,C,David Is Anointed as King of All Israel
52,"2 Sam 7:1-5, 8b-12, 14a, 16",4th Sunday of Advent,B,God's Promises to the House of David
53,"2 Sam 7:4-5a, 12-14a, 16","March 19: St. Joseph, Husband of the BVMary",,Lord's Promises to David
54,"2 Sam 12:7-10, 13",11th Sunday in Ordinary Time,C,David's Punishment for the Murder of Uriah
55,"1 Kgs 3:5, 7-12",17th Sunday in Ordinary Time,A,Solomon Asks for Wisdom and Understanding
56,1 Kgs 8:41-43,9th Sunday in Ordinary Time,C,Solomon Prays in the Temple for Foreigners
57,1 Kgs 17:10-16,32nd Sunday in Ordinary Time,B,Elijah Feeds the Widow of Zarephath
58,1 Kgs 17:17-24,10th Sunday in Ordinary Time,C,Elijah Restores a Widow's Son to Life in Zarephath
