Seq,Reference,PropersID,Year
1,Gen 1:1-19,"Ord. Time, Week 5, Mon",1
2,Gen 1:20-2:4a,"Ord. Time, Week 5, Tues",1
3,"Gen 2:4b-9, 15-17","Ord. Time, Week 5, Wed",1
4,Gen 2:18-25,"Ord. Time, Week 5, Thurs",1
5,Gen 3:1-8,"Ord. Time, Week 5, Fri",1
6,"Gen 3:9-15, 20",Dec 8: Solemnity: Immaculate Conception of the BVMary,1+2
7,"Gen 3:9-15, 20","Mon after Pentecost: BVMary, Mother of the Church (option 1)",1+2
8,Gen 3:9-24,"Ord. Time, Week 5, Sat",1
9,"Gen 4:1-15, 25","Ord. Time, Week 6, Mon",1
10,"Gen 6:5-8; 7:1-5, 10","Ord. Time, Week 6, Tues",1
11,"Gen 8:6-13, 20-22","Ord. Time, Week 6, Wed",1
12,Gen 9:1-13,"Ord. Time, Week 6, Thurs",1
13,Gen 11:1-9,"Ord. Time, Week 6, Fri",1
14,Gen 12:1-9,"Ord. Time, Week 12, Mon",1
15,"Gen 13:2, 5-18","Ord. Time, Week 12, Tues",1
16,"Gen 15:1-12, 17-18","Ord. Time, Week 12, Wed",1
17,"Gen 16:1-12, 15-16 or 16:6b-12, 15-16","Ord. Time, Week 12, Thurs",1
18,"Gen 17:1, 9-10, 15-22","Ord. Time, Week 12, Fri",1
19,Gen 17:3-9,"Lent, Week 5, Thurs",1+2
20,Gen 18:1-15,"Ord. Time, Week 12, Sat",1
21,Gen 18:16-33,"Ord. Time, Week 13, Mon",1
22,Gen 19:15-29,"Ord. Time, Week 13, Tues",1
23,"Gen 21:5, 8-20a","Ord. Time, Week 13, Wed",1
24,Gen 22:1b-19,"Ord. Time, Week 13, Thurs",1
25,"Gen 23:1-4, 19; 24:1-8, 62-67","Ord. Time, Week 13, Fri",1
26,"Gen 27:1-5, 15-29","Ord. Time, Week 13, Sat",1
27,Gen 28:10-22a,"Ord. Time, Week 14, Mon",1
28,Gen 32:23-33,"Ord. Time, Week 14, Tues",1
29,"Gen 37:3-4, 12-13a, 17b-28a","Lent, Week 2, Fri",1+2
30,"Gen 41:55-57; 42:5-7a, 17-24a","Ord. Time, Week 14, Wed",1
31,"Gen 44:18-21, 23b-29; 45:1-5","Ord. Time, Week 14, Thurs",1
32,"Gen 46:1-7, 28-30","Ord. Time, Week 14, Fri",1
33,"Gen 49:2, 8-10","Advent, Dec. 17",1+2
34,Gen 49:29-32; 50:15-26a,"Ord. Time, Week 14, Sat",1
35,"Exod 1:8-14, 22","Ord. Time, Week 15, Mon",1
36,Exod 2:1-15a,"Ord. Time, Week 15, Tues",1
37,"Exod 3:1-6, 9-12","Ord. Time, Week 15, Wed",1
38,Exod 3:13-20,"Ord. Time, Week 15, Thurs",1
39,Exod 11:10-12:14,"Ord. Time, Week 15, Fri",1
40,Exod 12:37-42,"Ord. Time, Week 15, Sat",1
41,Exod 14:5-18,"Ord. Time, Week 16, Mon",1
42,Exod 14:21-15:1,"Ord. Time, Week 16, Tues",1
43,"Exod 15:1bc-2, 3-4, 5-6","Ord. Time, Week 16, Mon",1
44,"Exod 15:8-9, 10+12, 17","Ord. Time, Week 16, Tues",1
45,"Exod 16:1-5, 9-15","Ord. Time, Week 16, Wed",1
