1CH	1-Chronicles
1CO	1-Corinthians
1ES	1-Esdras
1JN	1-John
1KI	1-Kings
1MA	1-Maccabees
1PE	1-Peter
1SA	1-Samuel
1TH	1-Thessalonians
1TI	1-Timothy
2CH	2-Chronicles
2CO	2-Corinthians
2ES	2-Esdras
2JN	2-John
2KI	2-Kings
2MA	2-Maccabees
2PE	2-Peter
2SA	2-Samuel
2TH	2-Thessalonians
2TI	2-Timothy
3JN	3-John
3MA	3-Maccabees
4MA	4-Maccabees
ACT	Acts
AMO	Amos
BAR	Baruch
BEL	Bel-and-the-Dragon
COL	Colossians
DAG	Greek-Daniel
DAN	Daniel
DEU	Deuteronomy
ECC	Ecclesiastes
EPH	Ephesians
ESG	Greek-Esther
EST	Esther
EXO	Exodus
EZK	Ezekiel
EZR	Ezra
GAL	Galatians
GEN	Genesis
HAB	Habakkuk
HAG	Haggai
HEB	Hebrews
HOS	Hosea
ISA	Isaiah
JAS	James
JDG	Judges
JDT	Judith
JER	Jeremiah
JHN	John
JOB	Job
JOL	Joel
JON	Jonah
JOS	Joshua
JUD	Jude
LAM	Lamentations
LEV	Leviticus
LUK	Luke
MAL	Malachi
MAN	Prayer-of-Manasseh
MAT	Matthew
MIC	Micah
MRK	Mark
NAM	Nahum
NEH	Nehemiah
NUM	Numbers
OBA	Obadiah
PHM	Philemon
PHP	Philippians
PRO	Proverbs
PS2	Psalm-151
PSA	Psalms
REV	Revelation
ROM	Romans
RUT	Ruth
S3Y	Song-of-the-Three-Holy-Men
SIR	Sirach
SNG	Song-of-Solomon
SUS	Susanna
TIT	Titus
TOB	Tobit
WIS	Wisdom
XXX	Additions-to-the-Book-of-Esther
XXX	Letter-of-Jeremiah
XXX	Prayer-of-Azariah
XXX	Prologue-to-Sirach
ZEC	Zechariah
ZEP	Zephaniah
