aai	Minaifia NT
aak	Minaifia NT
aau	Abau NT
aaz	Amarasi Bible
abc	Ayta Ambala NT Portions
abt-maprik	Ambulas Maprik NT
abt-wosera	Ambulas Wosera NT
abx	Inabaknon NT
aby	Aneme Wake NT
acfNT	Saint Lucian Creole French NT
acr-acc	New Testament in Achi
acrNNT	Achi Rabinal NT (new orthography)
acrTNT	Achi Rabinal NT (traditional orthography)
acuNT	Achuar-shiwiar Bible
adt	Adnyamathanha Christmas Story
adz	Adzera Bible
aer	Eastern Arrente Bible
aey	Amele Genesis
agd	Agarabi NT
agg	Angor NT
agm	Angaataha NT
agn	Agutaynen NT
agr	Aguaruna Bible
agt	Central Cagayan Agta
aguBl	Aguacateco Bible
ahr	Ahirani Matthew and Mark
aia	Arosi New Testament
aii	Assyrian Neo-Aramaic NT with Psalms
akeNT	Akawaio NT
alh	Alawa Song Book
alpNT	Alune NT
alqALGNT	Algonquin NT
alw	Alaba-K’abeena NT
aly	Alyawarr Bible
ameNT	Yanesha' NT
amf	Banna NT
amh	Amharic NT
amk	Ambai NT
amm	Ama NT
amn-amanab	Amanab NT
amn-n	Amanab Naineri NT
amo	Amo NT
amp	Alamblak NT
amrNT	New Testament in Amarakaeri (PE:amr:Amarakaeri)
amuNT	New Testament in Amuzgo, Guerrero (MX:amu:Amuzgo, Guerrero)
amx	Anmatyerr Bible
anh	Mark in Nend
anvNT	New Testament in Denya (CM:anv:Denya)
aoi	Anindilyakwa Bible
aoj	Mufian NT
aoj-filifita	Filifita NT
aom	Omie NT
aon	Arapesh NT
apb	Sa'a New Testament
apeB	Bukiyip NT
apec	Coastal Arapesh NT
apnNT	Apinayé NT
app	Apma Jona
apr	Arop-Lokep
apuNT	Apurinã NT
apwNT	Western Apache NT
apz	Ampeeli-Wojokeso NT with Genesis
aqk	Aninka Bible
arb-vd	Arabic Van Dyck Bible
arbnav	New Arabic Version (Book of Life)
are	Western Arrarnta NT
arlNT	Arabela NT
arnNT	Mapudungun NT
arp	Arapaho Luke
asg	Cishingini Bible
asj	Sari NT
asmfb	Assamese Indian Revised Version Bible
aso	Dano NT
ata	Ata Bible
atbNT	Zaiwa NT
atdNT	Ata Manobo NT
atgNT	Ivbie North-Okpela-Arhe NT
att	Pamplona Atta NT
aucNT	Waorani NT
aui	Anuki Bible Portions
auy	Awiyaana NT
avt	Au NT
awb	Awa NT
awk	Awabakal Luke
awx	Awara Bible portions
azb	Azerbaijani Bible
azgNT	San Pedro Amuzgos NT
azzNT	Highland Puebla Nahuatl NT
baoNT	Waimaha NT
bba	Bariba Bible
bbb	Barai Bible
bbd	Bau Bible Story
bbr	Girawa NT
bbr2013	New Testament in Girawa
bch	Bariai Bible
bco	Kaluli Bible portions
bdd	Bunama NT
bdv	Bodo Parja: BOPO Bible
bea	Beaver Mark
bef	Benabena NT
bel	Belarusan Bible, A. Boken
beln	Belarusian New Testament and Books of Old Testament
benirv	Bengali Indian Revised Version Bible: ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী
benobcv	Open Bengali Contemporary Version Bible
beo	Bedamuni Bible
beu	Pura Bible
bfz	Baghlayani Bible
bgc	Haryanvi Bible
bgg	Bugun Bible
bgs	Tagabawa Bible
bgt	Bughotu New Testament
bhd	Bhadrawahi Bible
bhg	Binandere NT
bhi	Bhilali: भगवानेन छाचला बुल (Bible)
bhl	Bimin NT
bht	Bhattiyali Bible
bhu	Bhumiya Bible
big	Biangai NT
big2013	New Testament in Biangai
bjk	Barok NT
bjp	Fanamaket NT
bjr	Binumarien Bible
bjvNT	Bedjond NT
bjz	Baruga NT
bkd	Binukid NT
bki	Baki NT
bkqNT	Bakairí NT
bkw	Bekwel NT
bkx	Baikeno Mark
bla	Blackfoot Matthew
blw	Balangao NT
blzNT	Balantak NT
bmh	Kein NT
bmk	Ghayavi Mark
bmrNT	Muinane NT
bmu	Somba-Siawari Bible
bnp	Bola Bible
boaNT	Bora NT
bodn	New Tibetan Bible
boj	Anjam NT 2000
boj2014	Anjam NT 2014  with  Psalms
bon	Bine NT
bou	Bondei Bible
boxNT	Buamu NT
bpr	Koronadal Blaan NT
bps	Sarangani Blaan NT
bpx	Bareli, Palya: भगवान ना खरला बोल (Bible)
bqcsim	Boko (Benin) Bible
bqp	Bisa Bible
breBRG	Breton Gospels
bsj	Bangwinji NT
bsnNT	Barasana-Eduria NT
bsp	Baga Sitemu Bible Portions
bssNT	Akoose NT
bswe	Baiso: አማቶ ኦኡሱብ (New Testament)
bswl	Baiso NT (Latin)
buj	Basa-Gurmana MAT
buk	Bukawa NT
bus	Bokobaru Bible
bvd	Baegu New Testament
bvr	Burarra Scriptures
bvw	Boga NT
bwc	Bwile: Bwile Bible Translation (Bible)
bwo	Borna NT Latin Version
bxh	Buhutu Bible
byr	Baruya NT with Genesis
byr-w	Yipma Wagamwa NT
byx	Qaqet Bible
bzdNTpo	Bribri Bible
bzh	Buang NT
bzj	New Testament in Belize Kriol English (BH:bzj:Belize Kriol English)
caa	Chorti Bible
cabNT	Suau Bible
cac	Chuj San Mateo Bible
cafNT	Southern Carrier NT
cak	Kaqchikel Chimaltenango NT
cakCNT	Kaqchikel NT
cakENT	Eastern Kaqchikel NT
cakNT	Kaqchikel Sur de Sacatepequez NT
cakSNT	Santa Maria de Jesus Kaqchikel NT
cakWNT	Western Solola Kaqchikel NT
cakYNT	SW Yepocapa and Acatenango Kaqchikel NT
caoNT	Chácobo NT
capNT	Chipaya NT
cavNT	Cavineña NT
caxNT	Chiquitano NT
cbcNT	Carapana NT
cbiNTpo	Chachi Bible
cbk	Chavacano NT
cbrNT	Cashibo-Cacataibo NT
cbsNT	Kashinawa NT
cbtNTpo	Chayahuita NT
cbuNT	Candoshi-Shapra NT
cbv	Cacua NT
ccoNT	Comaltepec Chinantec NT
cdz	Koda Bible
cebocb	Cebuano: Biblica® Open Ang Pulong sa Dios (Bible)
cebulb	Cebuano Bible
cekak	Asang Khongca Bible
ces1613	Czech Kralická Bible 1613
ceslb	Czech Living New Testament
cesnkb	Czech NBK NT
cfm	Falam Chin Bible
cgc	Kagayanen NT
cha	Chamorro Gospels, Acts, and Psalms
chdNT	Highland Oaxaca Chontal NT
chfNT	Tabasco Chontal NT
chk	Chuukese Bible
chqNT	Quiotepec Chinantec NT
chzNTps	Ozumacín Chinantec NT
cjoNT	Ashéninka Pajonal NT
cjv	Chuave NT
ckb	Kurdish Sorani Bible
cleNT	Lealao Chinantec NT
clu	Caluyanun NT
cmeNT	New Testament in Cerma (UV:cme:Cerma)
cmn-cu89s	Chinese Union Version (simplified)
cmn-cu89t	Chinese Union Version (traditional)
cmncbs	Mandarin Chinese Open Contemporary Bible (Simplified)
cmncbt	Chinese, Mandarin: Biblica® 聖經，當代譯本開放資源 (Bible)
cmnfeb	Chinese, Mandarin: 免费的易读圣经 Free Easy-to-read Bible (Bible)
cniNT	Asháninka NT
cnlNT	Lalana Chinantec NT
