HymnID	HymnNoticeText	HymnalID	HymnNumber	HymnFirstLine	Metre	Tune	Occasion	Plainsong	Alternates
CH0001	CH1 A child is born for us today	CH	1	A child is born for us today
CH0002	CH2 A child is born in Bethlehem	CH	2	A child is born in Bethlehem
CH0003	CH3 A mighty stronghold is our God	CH	3	A mighty stronghold is our God
CH0004	CH4 A new commandment I give unto you	CH	4	A new commandment I give unto you
CH0005	CH5 A noble flow'r of Juda	CH	5	A noble flow'r of Juda
CH0006	CH6 A sign is seen in heaven	CH	6	A sign is seen in heaven
CH0007	CH7 Abba, Abba, Father	CH	7	Abba, Abba, Father
CH0008	CH8 Abba, Father send your Spirit	CH	8	Abba, Father send your Spirit
CH0009	CH9 Abide with me	CH	9	Abide with me
CH0010	CH10 Across the years there echoes	CH	10	Across the years there echoes
CH0011	CH11 Adoramus te, Domine	CH	11	Adoramus te, Domine
CH0012	CH12 Again the Lord's own day	CH	12	Again the Lord's own day
CH0013	CH13 Ah, holy Jesus, how hast thou offended	CH	13	Ah, holy Jesus, how hast thou offended
CH0014	CH14 All creation, bless the Lord	CH	14	All creation, bless the Lord
CH0015	CH15 All creatures of our God and King	CH	15	All creatures of our God and King
CH0016	CH16 All for Jesus	CH	16	All for Jesus
CH0017	CH17 All glory, laud and honour	CH	17	All glory, laud and honour
CH0018	CH18 All hail the Lamb	CH	18	All hail the Lamb
CH0019	CH19 All hail the pow'r of Jesus' name	CH	19	All hail the pow'r of Jesus' name
CH0020	CH20 All heaven declares	CH	20	All heaven declares
CH0021	CH21 All my hope on God is founded	CH	21	All my hope on God is founded
CH0022	CH22 All people that on earth do dwell	CH	22	All people that on earth do dwell
CH0023	CH23 All that I am	CH	23	All that I am
CH0024	CH24 All the earth proclaim the Lord	CH	24	All the earth proclaim the Lord
CH0025	CH25 All the ends of the earth	CH	25	All the ends of the earth
CH0026	CH26 All the nations of the earth	CH	26	All the nations of the earth
CH0027	CH27 All things bright and beautiful	CH	27	All things bright and beautiful
CH0028	CH28 All this world belongs to Jesus	CH	28	All this world belongs to Jesus
CH0029	CH29 All who claim the faith of Jesus	CH	29	All who claim the faith of Jesus
CH0030	CH30 All you nations sing out your joy	CH	30	All you nations sing out your joy
CH0031	CH31 All ye who seek a comfort sure	CH	31	All ye who seek a comfort sure
CH0032	CH32 Alleluia No 1	CH	32	Alleluia No 1
CH0032	CH32 Alleluia, alleluia, give thanks	CH	32	Alleluia, alleluia, give thanks
CH0033	CH33 Alleluia, alleluia! I will praise the Father	CH	33	Alleluia, alleluia! I will praise the Father
CH0034	CH34 Alleluia, alleluia, salvation and glory	CH	34	Alleluia, alleluia, salvation and glory
CH0034	CH34 Canticle of the Lamb	CH	34	Canticle of the Lamb
CH0035	CH35 Alleluia (Premananda)	CH	35	Alleluia (Premananda)
CH0035	CH35 Premananda Alleluia	CH	35	Premananda Alleluia
CH0036	CH36 8-fold Alleluia	CH	36	8-fold Alleluia
CH0036	CH36 Alleluia (eight-fold)	CH	36	Alleluia (eight-fold)
CH0037	CH37 Alleluia, sing to Jesus	CH	37	Alleluia, sing to Jesus
CH0038	CH38 Alleluia! This is the day	CH	38	Alleluia! This is the day
