1a		Creator of the stars of night	CONDITOR ALME
1b		Creator of the stars of night	ST. GREGORY
2		O heavenly Word of God on high	VERBUM SUPERNUM
3a		Come, thou long-expected Jesus	HALTON HOLGATE
3b		Come, thou long-expected Jesus	CROSS OF JESUS
4a		Gabriel's message does away	GABRIEL'S MESSAGE
4b		Gabriel's message does away	GABRIEL'S MESSAGE
5		Hark! A herald voice is calling	MERTON
6		Hark the glad sound! the Saviour comes	BRISTOL
7		Hills of the North, rejoice	LITTLE CORNARD
8		Lift up your heads, ye mighty gates	WELLINGTON
9		Lo! he comes with clouds descending	HELMSLEY
10		Long ago, prophets knew	PERSONENT HODIE
11		O come, O come, Emmanuel!	VENI EMMANUEL
12		On Jordan's bank the Baptist's cry	WINCHESTER NEW
13		O quickly come, dread Judge of all	VATER UNSER
14		The advent of our God	ST THOMAS
15		The Lord will come and not be slow	ST STEPHEN
16		Wake, O wake! with tidings thrilling	WACHET AUF
17		When came in flesh the incarnate Word	WALSALL
18		Ye servants of the Lord	NARENZA
19a		Come, thou Redeemer of the earth	VENI REDEMPTOR
19b		Come, thou Redeemer of the earth	PUER NOBIS NASCITUR
20a		From east to west, from shore to shore	A SOLIS ORTUS
20b		From east to west, from shore to shore	VOM HIMMEL HOCH
21		A great and mighty wonder	ES IST EIN' ROS' ENTSPRUNGEN
22		Away in a manger, no crib for a bed	CRADLE SONG
23		Behold the great Creator makes	THIS ENDRIS NYGHT
24		Christians awake! salute the happy morn	YORKSHIRE (STOCKPORT)
25		God rest you merry, gentlemen	GOD REST YOU MERRY
26		Hark! the herald angels sing	MENDELSSOHN
27		How brightly shines the Morning Star!	WIE SCHÖN LEUCHTET
28		In the bleak midwinter	CRANHAM
29		It came upon the midnight clear	NOEL
30		O come, all ye faithful	ADESTE FIDELES
31		O Little One sweet, O Little One mild	O JESULEIN SÜSS
32		O little town of Bethlehem	FOREST GREEN
33		Of the Father's heart begotten	DIVINUM MYSTERIUM
34		Once in royal David's city	IRBY
35		Silent night! Holy night!	STILLE NACHT
36		The first Nowell the angel did say	THE FIRST NOWELL
37		The great God of heaven is come down to earth	A VIRGIN UNSPOTTED
38		The Maker of the sun and moon	IN DER WIEGEN
39		Unto us a boy is born!	PUER NOBIS
40		What child is this, who, laid to rest	GREENSLEEVES
41a		Where is this stupendous stranger?	OTTERY ST MARY
41b		Where is this stupendous stranger?	CASTIGLIONE
42		While shepherds watched their flocks by night	WINCHESTER OLD
43		Child of the stable's secret birth	NEWTOWN ST LUKE
44		Faithful vigil ended	GLENFINLAS
45		The growing limbs of God the Son	ST CHAD
46a		Why, impious Herod, shouldst thou fear	VENI REDEMPTOR
