ValidationDropDownList	Hymnal	HymnNumber	PD	FirstLine	Tune	Metre	Occasion	EHNote	EHNote2
string	HymnalCode	HymnNumber		string					
C1 A child is born for us today	CH:Celebration Hymnal for Everyone	1		A child is born for us today					
C10 Across the years there echoes	CH:Celebration Hymnal for Everyone	10		Across the years there echoes					
C100 Bring, all ye dear-bought nations, bring	CH:Celebration Hymnal for Everyone	100	*	Bring, all ye dear-bought nations, bring					
C1000 Blessed be the God and Father Evening Prayer	CH:Celebration Hymnal for Everyone	1000		Blessed be the God and Father Evening Prayer					
C1001 Give thanks to the Father Evening Prayer	CH:Celebration Hymnal for Everyone	1001		Give thanks to the Father Evening Prayer					
C1002 Before the heaven and earth	CH:Celebration Hymnal for Everyone	1002		Before the heaven and earth					
C1003 Great indeed is the mystery Evening Prayer Epiphany (O praise the Lord O you nations) Transfiguration	CH:Celebration Hymnal for Everyone	1003		Great indeed is the mystery Evening Prayer Epiphany (O praise the Lord O you nations) Transfiguration					
C1004 Worthy are you our Lord and God Evening Prayer/Eastertide	CH:Celebration Hymnal for Everyone	1004		Worthy are you our Lord and God Evening Prayer/Eastertide					
C1005 We give you thanks to you Lord Evening Prayer/Eastertide	CH:Celebration Hymnal for Everyone	1005		We give you thanks to you Lord Evening Prayer/Eastertide					
C1006 Great and wonderful are your deeds Morning/Evening Prayer/Eastertide	CH:Celebration Hymnal for Everyone	1006		Great and wonderful are your deeds Morning/Evening Prayer/Eastertide					
C1007 We worship you Lord (Good Friday antiphon) Good Friday	CH:Celebration Hymnal for Everyone	1007		We worship you Lord (Good Friday antiphon) Good Friday					
C1008 Sion lift your voice and sing (Lauda Sion) Corpus Christi	CH:Celebration Hymnal for Everyone	1008		Sion lift your voice and sing (Lauda Sion) Corpus Christi					
C1009 Processional Litany of the Saints	CH:Celebration Hymnal for Everyone	1009		Processional Litany of the Saints					
C101 Bring flowers of the rarest	CH:Celebration Hymnal for Everyone	101	*	Bring flowers of the rarest					
C1010 Blessed be Jesus (Make us a sign)	CH:Celebration Hymnal for Everyone	1010		Blessed be Jesus (Make us a sign)					
C1011 Gloria! Gloria! Gloria! (Salazar)	CH:Celebration Hymnal for Everyone	1011		Gloria! Gloria! Gloria! (Salazar)					
C1012 Gloria, gloria, in excelsis Deo (Anderson)	CH:Celebration Hymnal for Everyone	1012		Gloria, gloria, in excelsis Deo (Anderson)					
C1013 Gloria, gloria, in excelsis Deo! (Gloria III)	CH:Celebration Hymnal for Everyone	1013		Gloria, gloria, in excelsis Deo! (Gloria III)					
C1014 We sing hosanna	CH:Celebration Hymnal for Everyone	1014		We sing hosanna					
C1015 We sing your glory	CH:Celebration Hymnal for Everyone	1015		We sing your glory					
C1016 Holy Name Communion Song	CH:Celebration Hymnal for Everyone	1016		Holy Name Communion Song					
C1016 Jesus Christ, Lamb of God (Sands)	CH:Celebration Hymnal for Everyone	1016		Jesus Christ, Lamb of God (Sands)					
C1017 Communion Song 3	CH:Celebration Hymnal for Everyone	1017		Communion Song 3					
C1017 Jesus, Lamb of God and source of life	CH:Celebration Hymnal for Everyone	1017		Jesus, Lamb of God and source of life					
C1018 Jesus, Lamb of God, bearer of our sin (Farrell)	CH:Celebration Hymnal for Everyone	1018		Jesus, Lamb of God, bearer of our sin (Farrell)					
C1019 Jesus, Lamb of God, Bread of Life (Inwood)	CH:Celebration Hymnal for Everyone	1019		Jesus, Lamb of God, Bread of Life (Inwood)					
C102 null	CH:Celebration Hymnal for Everyone	102		null					
C1020 Jesus, Lamb of God, you take away the sins of the world (Haugen)	CH:Celebration Hymnal for Everyone	1020		Jesus, Lamb of God, you take away the sins of the world (Haugen)					
C1021 Communion Song 4	CH:Celebration Hymnal for Everyone	1021		Communion Song 4					
C1021 Jesus, Lamb of God, have mercy	CH:Celebration Hymnal for Everyone	1021		Jesus, Lamb of God, have mercy					
C1022 Loving Saviour, bread of life	CH:Celebration Hymnal for Everyone	1022		Loving Saviour, bread of life					
C1023 May God bless and keep you	CH:Celebration Hymnal for Everyone	1023		May God bless and keep you					
C1024 We believe in God the Father (Walker)	CH:Celebration Hymnal for Everyone	1024		We believe in God the Father (Walker)					
C1025 We believe in one God (Walker)	CH:Celebration Hymnal for Everyone	1025		We believe in one God (Walker)					
C103 And be like your father	CH:Celebration Hymnal for Everyone	103		And be like your father					
C104 Called to be servants	CH:Celebration Hymnal for Everyone	104		Called to be servants					
C105 Child in the manger	CH:Celebration Hymnal for Everyone	105	*	Child in the manger					
C106 Christ be beside me	CH:Celebration Hymnal for Everyone	106		Christ be beside me					
C107 Christ is alive, with joy we sing	CH:Celebration Hymnal for Everyone	107		Christ is alive, with joy we sing					
C108 Christ is King of earth and heaven	CH:Celebration Hymnal for Everyone	108		Christ is King of earth and heaven					
C109 Christ is made the sure foundation	CH:Celebration Hymnal for Everyone	109	*	Christ is made the sure foundation					
C11 Adoramus te, Domine	CH:Celebration Hymnal for Everyone	11		Adoramus te, Domine					
