LessonKey	LectorAnnouncement
1 Chronicles	First Book of Chronicles
1 Corinthians	First Epistle of St Paul to the Corinthians
1 John	First Epistle of St John
1 Kings	First Book of Kings
1 Peter	First Epistle of St Peter
1 Samuel	First Book of Samuel
1 Thessalonians	First Epistle of St Paul to the Thessalonians
1 Timothy	First Epistle of St Paul to St Timothy
2 Chronicles	Second Book of Chronicles
2 Corinthians	Second Epistle of St Paul to the Corinthians
2 Kings	Second Book of Kings
2 Maccabees	Second Book of Maccabees
2 Peter	Second Epistle of St Peter to the Corinthians
2 Samuel	Second Book of Samuel
2 Thessalonians	Second Epistle of St Paul to the Thessalonians
2 Timothy	Second Epistle of St Paul to St Timothy
2 Timothy	Second Epistle of St Paul to Timothy
Acts	Acts of the Apostles
Acts	Book of Acts
Acts	Book of the Prophet Malachi
Amos	Book of the Prophet Amos
Baruch	Book of the Scribe Baruch
Colossians	Epistle of St Paul to the Colossians
Daniel	Book of the Prophet Daniel
Daniel-C	Canticle of the Prophet Daniel
Deuteronomy	Book of Deuteronomy
Ecclesiastes	Book of Ecclesiastes
Ephesians	Epistle of St Paul to the Ephesians
Exodus	Book of Exodus
Ezekiel	Book of the Prophet Ezekiel
Galatians	Epistle of St Paul to the Galatians
Genesis	Book of Genesis
Habakkuk	Book of the Prophet Habakkuk
Hebrews	Epistle to the Hebrews
Hosea	Book of the Prophet Hosea
Isaiah	Book of the Prophet Isaiah
Isaiah-C	Canticle of the Prophet Isaiah
James	Epistle of St James
Jeremiah	Book of the Prophet Jeremiah
Job	Book of Job
Joel	Book of the Prophet Joel
John	Gospel of Our Lord Jesus Christ according to St John
Jonah	Book of the Prophet Jonah
Joshua	Book of Joshua
Leviticus	Book of Leviticus
Luke	Gospel of Our Lord Jesus Christ according to St Luke
Luke-C	Canticle of St Luke the Evangelist
Malachi	Book of the Prophet Malachi
Mark	Gospel of Our Lord Jesus Christ according to St Mark
Mark	Gospel of Our Lord Jesus Christ according to St Matthew
Matthew	Gospel of Our Lord Jesus Christ according to St Matthew
Micah	Book of the Prophet Micah
Nehemiah	Book of Nehemiah
Numbers	Book of Numbers
Philemon	Epistle of St Paul to Philemon
Philippians	Epistle of St Paul to the Philippians
Proverbs	Book of Proverbs
Psalm	Psalm of David
Psalm	Psalm of Solomon
Revelation	Revelation to St John
Romans	Epistle of St Paul to the Romans
Sirach	Book of Sirach
Titus	Epistle of St Paul to Titus
Wisdom	Book of the Wisdom of Solomon
Zechariah	Book of the Prophet Zechariah
Zephaniah	Book of the Prophet Zephaniah
