Seq	PropersID	Year	Reference	Brief Description of Reading
1	Easter Vigil (1st Reading)	ABC	Gen 1:1—2:2 or 1:1, 26-31a	First Story of Creation
2	1st Sunday of Lent	A	Gen 2:7-9; 3:1-7	Second Story of Creation
3	27th Sunday in Ordinary Time	B	Gen 2:18-24	Creation of Woman as a Partner for Man
4	10th Sunday in Ordinary Time	B	Gen 3:9-15	Fall of Adam and Eve, and the Curse of the Serpent
5	Dec 8: Immaculate Conception of the BVMary		Gen 3:9-15, 20	Fall of Adam and Eve, and the Curse of the Serpent
6	1st Sunday of Lent	B	Gen 9:8-15	God’s Covenant with Noah
7	Pentecost Sunday: Vigil Mass (Option 1)	ABC	Gen 11:1-9	Tower of Babel
8	2nd Sunday of Lent	A	Gen 12:1-4a	Call of Abram
9	Sunday after Trinity Sun: Body & Blood of Christ	C	Gen 14:18-20	Melchizedek Offers Bread and Wine, and Blesses Abram
10	Sunday in Octave of Christmas: Holy Family (Opt. B)	B	Gen 15:1-6; 21:1-3	God’s Covenant with Abraham; Birth of Isaac
11	2nd Sunday of Lent	C	Gen 15:5-12, 17-18	God’s Covenant with Abram
12	16th Sunday in Ordinary Time	C	Gen 18:1-10a	Abraham’s Three Visitors at Mamre
13	17th Sunday in Ordinary Time	C	Gen 18:20-32	Abraham Intercedes for Sodom
14	2nd Sunday of Lent	B	Gen 22:1-2, 9a, 10-13, 15-18	Testing of Abraham (Sacrifice of Isaac)
15	Easter Vigil (2nd Reading)	ABC	Gen 22:1-18 or 22:1-2, 9a, 10-13, 15-18	Testing of Abraham
16	3rd Sunday of Lent	C	Exod 3:1-8a, 13-15	Burning Bush and the Call of Moses
17	Holy Thursday: Mass of the Lord’s Supper	ABC	Exod 12:1-8, 11-14	Prescriptions for the Passover Ritual
18	Easter Vigil (3rd Reading)	ABC	Exod 14:15—15:1	Exodus
19	Easter Vigil (3rd Response)	ABC	Exod 15:1-2, 3-4, 5-6, 17-18	Israelites' Song of Victory over Pharaoh's Army
20	18th Sunday in Ordinary Time	B	Exod 16:2-4, 12-15	Manna and Quail in the Desert
21	3rd Sunday of Lent	A	Exod 17:3-7	Moses Strikes Water from the Rock in Horeb
22	29th Sunday in Ordinary Time	C	Exod 17:8-13	Moses Prays as Joshua Battles Amalek
23	11th Sunday in Ordinary Time	A	Exod 19:2-6a	Israelites Arrive at Mount Sinai; God Speaks to Moses
24	Pentecost Sunday: Vigil Mass (Option 2)	ABC	Exod 19:3-8a, 16-20b	Arrival and Theophany at Sinai
25	3rd Sunday of Lent	B	Exod 20:1-17 or 20:1-3, 7-8, 12-17	Ten Commandments
26	30th Sunday in Ordinary Time	A	Exod 22:20-26	Laws to Protect Aliens, Widows, Orphans, and the Poor
27	Sunday after Trinity Sun: Body & Blood of Christ	B	Exod 24:3-8	Ratification of the Covenant with Blood
28	24th Sunday in Ordinary Time	C	Exod 32:7-11, 13-14	Golden Calf and Moses’ Prayer for the People
29	Sunday after Pentecost: Holy Trinity	A	Exod 34:4b-6, 8-9	Moses Encounters the Lord Again on Mount Sinai
30	6th Sunday in Ordinary Time	B	Lev 13:1-2, 44-46	Regulations Concerning Leprosy
31	7th Sunday in Ordinary Time	A	Lev 19:1-2, 17-18	Be Holy as God Is Holy; Love Your Neighbor as Yourself
32	Jan. 1: Mary, Mother of God	ABC	Num 6:22-27	Priestly Blessing of Aaron
33	26th Sunday in Ordinary Time	B	Num 11:25-29	God’s Spirit Comes upon 70 Elders
34	Sept 14: Exaltation of the Holy Cross		Num 21:4b-9	Moses Lifts Up a Bronze Serpent
35	22nd Sunday in Ordinary Time	B	Deut 4:1-2, 6-8	Moses Calls the People to Keep God’s Commands
36	Sunday after Pentecost: Holy Trinity	B	Deut 4:32-34, 39-40	Proofs of God’s Care for the People
37	9th Sunday in Ordinary Time	B	Deut 5:12-15	Keep Holy the Sabbath Day
38	31st Sunday in Ordinary Time	B	Deut 6:2-6	“Hear, O Israel.” (Great Commandment)
39	Friday after 2nd Sun after Pentecost: Sacred Heart	A	Deut 7:6-11	God’s Love for His Chosen Nation
40	Sunday after Trinity Sun: Body & Blood of Christ	A	Deut 8:2-3, 14b-16a	God Fed You with Manna for 40 Years
41	9th Sunday in Ordinary Time	A	Deut 11:18, 26-28, 32	Blessings/Curses for Obeying/Rejecting God’s Commandments
42	4th Sunday in Ordinary Time	B	Deut 18:15-20	God Will Raise Up a Prophet Like Moses
43	1st Sunday of Lent	C	Deut 26:4-10	Thank Offerings for the Harvest
44	15th Sunday in Ordinary Time	C	Deut 30:10-14	God’s Commands Are Not Remote, but Near
45	4th Sunday of Lent	C	Josh 5:9a, 10-12	Passover at Gilgal and the Cessation of Manna
46	21st Sunday in Ordinary Time	B	Josh 24:1-2a, 15-17, 18b	Joshua Calls the People to Serve the Lord
47	Sunday in Octave of Christmas: Holy Family (Opt. C)	C	1 Sam 1:20-22, 24-28	Hannah Offers Her Son, Samuel, to God
48	2nd Sunday in Ordinary Time	B	1 Sam 3:3b-10, 19	God’s Revelation to Young Samuel
49	4th Sunday of Lent	A	1 Sam 16:1b, 6-7, 10-13a	Samuel Anoints David in Bethlehem
50	7th Sunday in Ordinary Time	C	1 Sam 26:2, 7-9, 12-13, 22-23	David Spares the Life of Saul
51	34th Sunday in Ord. Time: Christ the King	C	2 Sam 5:1-3	David Is Anointed as King of All Israel
52	4th Sunday of Advent	B	2 Sam 7:1-5, 8b-12, 14a, 16	God’s Promises to the House of David
