Seq	PropersID	Year	FirstReadingReference	ResponsorialPsalmReference	GospelAlleluiaReference	GospelReadingReference
1	Ord Time I:Mon	I	Heb 1:1-6	Ps 97:1+2b,6+7c,9	Mark 1:15	Mark 1:14-20
2	Ord Time I:Tue	I	Heb 2:5-12	Ps 8:2ab+5,6-7,8-9	cf. 1 Thess 2:13	Mark 1:21-28
3	Ord Time I:Wed	I	Heb 2:14-18	Ps 105:1-2,3-4,6-7,8-9	John 10:27	Mark 1:29-39
4	Ord Time I:Thu	I	Heb 3:7-14	Ps 95:6-7c,8-9,10-11	cf. Matt 4:23	Mark 1:40-45
5	Ord Time I:Fri	I	Heb 4:1-5,11	Ps 78:3+4bc,6c-7,8	Luke 7:16	Mark 2:1-12
6	Ord Time I:Sat	I	Heb 4:12-16	Ps 19:8,9,10,15	Luke 4:18	Mark 2:13-17
7	Ord Time II:Mon	I	Heb 5:1-10	Ps 110:1,2,3,4	Heb 4:12	Mark 2:18-22
8	Ord Time II:Tue	I	Heb 6:10-20	Ps 111:1-2,4-5,9+10c	cf. Eph 1:17-18	Mark 2:23-28
9	Ord Time II:Wed	I	Heb 7:1-3,15-17	Ps 110:1,2,3,4	cf. Matt 4:23	Mark 3:1-6
10	Ord Time II:Thu	I	Heb 7:25—8:6	Ps 40:7-8a,8b-9,10,17	cf. 2 Tim 1:10	Mark 3:7-12
11	Ord Time II:Fri	I	Heb 8:6-13	Ps 85:8+10,11-12,13-14	2 Cor 5:19	Mark 3:13-19
12	Ord Time II:Sat	I	Heb 9:2-3,11-14	Ps 47:2-3,6-7,8-9	cf. Acts 16:14b	Mark 3:20-21
13	Ord Time III:Mon	I	Heb 9:15,24-28	Ps 98:1,2-3ab,3cd-4,5-6	cf. 2 Tim 1:10	Mark 3:22-30
14	Ord Time III:Tue	I	Heb 10:1-10	Ps 40:2+4ab,7-8a,10,11	cf. Matt 11:25	Mark 3:31-35
15	Ord Time III:Wed	I	Heb 10:11-18	Ps 110:1,2,3,4		Mark 4:1-20
16	Ord Time III:Thu	I	Heb 10:19-25	Ps 24:1-2,3-4ab,5-6	Ps 119:105	Mark 4:21-25
17	Ord Time III:Fri	I	Heb 10:32-39	Ps 37:3-4,5-6,23-24,39-40	cf. Matt 11:25	Mark 4:26-34
18	Ord Time III:Sat	I	Heb 11:1-2,8-19	Luke 1:69-70,71-72,73-75	John 3:16	Mark 4:35-41
19	Ord Time IV:Mon	I	Heb 11:32-40	Ps 31:20,21,22,23,24	Luke 7:16	Mark 5:1-20
20	Ord Time IV:Tue	I	Heb 12:1-4	Ps 22:26b-27,28+30,31-32	Matt 8:17	Mark 5:21-43
21	Ord Time IV:Wed	I	Heb 12:4-7,11-15	Ps 103:1-2,13-14,17-18a	John 10:27	Mark 6:1-6
22	Ord Time IV:Thu	I	Heb 12:18-19,21-24	Ps 48:2-3ab,3cd-4,9,10-11	Mark 1:15	Mark 6:7-13
23	Ord Time IV:Fri	I	Heb 13:1-8	Ps 27:1,3,5,8b-9abc	cf. Luke 8:15	Mark 6:14-29
24	Ord Time IV:Sat	I	Heb 13:15-17,20-21	Ps 23:1-3a,3b-4,5,6	John 10:27	Mark 6:30-34
25	Ord Time V:Mon	I	Gen 1:1-19	Ps 104:1-2a,5-6,10+12,24+35c	cf. Matt 4:23	Mark 6:53-56
26	Ord Time V:Tue	I	Gen 1:20—2:4a	Ps 8:4-5,6-7,8-9	Ps 119:36,29b	Mark 7:1-13
27	Ord Time V:Wed	I	Gen 2:4b-9,15-17	Ps 104:1-2a,27-28,29bc-30	cf. John 17:17b,17a	Mark 7:14-23
28	Ord Time V:Thu	I	Gen 2:18-25	Ps 128:1-2,3,4-5	James 1:21bc	Mark 7:24-30
29	Ord Time V:Fri	I	Gen 3:1-8	Ps 32:1-2,5,6,7	cf. Acts 16:14b	Mark 7:31-37
30	Ord Time V:Sat	I	Gen 3:9-24	Ps 90:2,3-4abc,5-6,12-13	Matt 4:4b	Mark 8:1-10
31	Ord Time VI:Mon	I	Gen 4:1-15,25	Ps 50:1+8,16bc-17,20-21	John 14:6	Mark 8:11-13
32	Ord Time VI:Tue	I	Gen 6:5-8;7:1-5,10	Ps 29:1a+2,3ac-4,3b+9c-10	John 14:23	Mark 8:14-21
33	Ord Time VI:Wed	I	Gen 8:6-13,20-22	Ps 116:12-13,14-15,18-19	cf. Eph 1:17-18	Mark 8:22-26
34	Ord Time VI:Thu	I	Gen 9:1-13	Ps 102:16-18,19-21,29+22-23	cf. John 6:63c,68c	Mark 8:27-33
35	Ord Time VI:Fri	I	Gen 11:1-9	Ps 33:10-11,12-13,14-15	John 15:15b	Mark 8:34—9:1
36	Ord Time VI:Sat	I	Heb 11:1-7	Ps 145:2-3,4-5,10-11	cf. Mark 9:6	Mark 9:2-13
37	Ord Time VII:Mon	I	Sir 1:1-10	Ps 93:1ab,1cd-2,5	cf. 2 Tim 1:10	Mark 9:14-29
38	Ord Time VII:Tue	I	Sir 2:1-11	Ps 37:3-4,18-19,27-28,39-40	Gal 6:14	Mark 9:30-37
39	Ord Time VII:Wed	I	Sir 4:11-19	Ps 119:165,168,171,172,174,175	John 14:6	Mark 9:38-40
40	Ord Time VII:Thu	I	Sir 5:1-8	Ps 1:1-2,3,4+6	cf. 1 Thess 2:13	Mark 9:41-50
41	Ord Time VII:Fri	I	Sir 6:5-17	Ps 119:12,16,18,27,34,35	cf. John 17:17b,17a	Mark 10:1-12
42	Ord Time VII:Sat	I	Sir 17:1-15	Ps 103:13-14,15-16,17-18a	cf. Matt 11:25	Mark 10:13-16
43	Ord Time VIII:Mon	I	Sir 17:20-24	Ps 32:1-2,5,6,7	2 Cor 8:9	Mark 10:17-27
44	Ord Time VIII:Tue	I	Sir 35:1-12	Ps 50:5-6,7-8,14+23	cf. Matt 11:25	Mark 10:28-31
45	Ord Time VIII:Wed	I	Sir 36:1,4-5a,10-17	Ps 79:8,9,11+13	Mark 10:45	Mark 10:32-45
46	Ord Time VIII:Thu	I	Sir 42:15-25	Ps 33:2-3,4-5,6-7,8-9	John 8:12	Mark 10:46-52
47	Ord Time VIII:Fri	I	Sir 44:1,9-13	Ps 149:1b-2,3-4,5-6a+9b	cf. John 15:16	Mark 11:11-26
48	Ord Time VIII:Sat	I	Sir 51:12cd-20	Ps 19:8,9,10,11	cf. Col 3:16a,17c	Mark 11:27-33
49	Ord Time IX:Mon	I	Tob 1:3;2:1a-8	Ps 112:1b-2,3b-4,5-6	cf. Rev 1:5ab	Mark 12:1-12
50	Ord Time IX:Tue	I	Tob 2:9-14	Ps 112:1-2,7-8,9	cf. Eph 1:17-18	Mark 12:13-17
51	Ord Time IX:Wed	I	Tob 3:1-11a,16-17a	Ps 25:2-3,4-5ab,6+7bc,8-9	John 11:25a,26	Mark 12:18-27
52	Ord Time IX:Thu	I	Tob 6:10-11;7:1bcde,9-17;8:4-9a	Ps 128:1-2,3,4-5	cf. 2 Tim 1:10	Mark 12:28b-34
53	Ord Time IX:Fri	I	Tob 11:5-17	Ps 146:1b-2,6c-7,8-9a,9bc-10	John 14:23	Mark 12:35-37
54	Ord Time IX:Sat	I	Tob 12:1,5-15,20	Tob 13:2,6,7,10 [Vulg.]	Matt 5:3	Mark 12:38-44
55	Ord Time X:Mon	I	2 Cor 1:1-7	Ps 34:2-3,4-5,6-7,8-9	Matt 5:12a	Matt 5:1-12
56	Ord Time X:Tue	I	2 Cor 1:18-22	Ps 119:129,130,131,132,133,135	Matt 5:16	Matt 5:13-16
57	Ord Time X:Wed	I	2 Cor 3:4-11	Ps 99:5,6,7,8,9	Ps 25:4b,5a	Matt 5:17-19
58	Ord Time X:Thu	I	2 Cor 3:15—4:1,3-6	Ps 85:9ab+10,11-12,13-14	John 13:34	Matt 5:20-26
59	Ord Time X:Fri	I	2 Cor 4:7-15	Ps 116:10-11,15-16,17-18	Phil 2:15d,16a	Matt 5:27-32
60	Ord Time X:Sat	I	2 Cor 5:14-21	Ps 103:1-2,3-4,9-10,11-12	Ps 119:36a,29b	Matt 5:33-37
61	Ord Time XI:Mon	I	2 Cor 6:1-10	Ps 98:1,2b-3ab,3cd-4	Ps 119:105	Matt 5:38-42
62	Ord Time XI:Tue	I	2 Cor 8:1-9	Ps 146:2,5-6ab,6c-7,8-9a	John 13:34	Matt 5:43-48
63	Ord Time XI:Wed	I	2 Cor 9:6-11	Ps 112:1bc-2,3-4,9	John 14:23	Matt 6:1-6,16-18
64	Ord Time XI:Thu	I	2 Cor 11:1-11	Ps 111:1b-2,3-4,7-8	Rom 8:15bc	Matt 6:7-15
65	Ord Time XI:Fri	I	2 Cor 11:18,21-30	Ps 34:2-3,4-5,6-7	Matt 5:3	Matt 6:19-23
66	Ord Time XI:Sat	I	2 Cor 12:1-10	Ps 34:8-9,10-11,12-13	2 Cor 8:9	Matt 6:24-34
67	Ord Time XII:Mon	I	Gen 12:1-9	Ps 33:12-13,18-19,20+22	Heb 4:12	Matt 7:1-5
68	Ord Time XII:Tue	I	Gen 13:2,5-18	Ps 15:2-3a,3bc-4ab,5	John 8:12	Matt 7:6,12-14
69	Ord Time XII:Wed	I	Gen 15:1-12,17-18	Ps 105:1-2,3-4,6-7,8-9	John 15:4a,5b	Matt 7:15-20
70	Ord Time XII:Thu	I	Gen 16:1-12,15-16| 16:6b-12,15-16	Ps 106:1b-2,3-4a,4b-5	John 14:23	Matt 7:21-29
71	Ord Time XII:Fri	I	Gen 17:1,9-10,15-22	Ps 128:1-2,3,4-5	Matt 8:17	Matt 8:1-4
72	Ord Time XII:Sat	I	Gen 18:1-15	Luke 1:46-47,48-49,50+53,54-55	Matt 8:17	Matt 8:5-17
73	Ord Time XIII:Mon	I	Gen 18:16-33	Ps 103:1b-2,3-4,8-9,10-11	Ps 95:8	Matt 8:18-22
74	Ord Time XIII:Tue	I	Gen 19:15-29	Ps 26:2-3,9-10,11-12	Ps 130:5	Matt 8:23-27
75	Ord Time XIII:Wed	I	Gen 21:5,8-20a	Ps 34:7-8,10-11,12-13	James 1:18	Matt 8:28-34
76	Ord Time XIII:Thu	I	Gen 22:1b-19	Ps 115:1-2,3-4,5-6,8-9	2 Cor 5:19	Matt 9:1-8
77	Ord Time XIII:Fri	I	Gen 23:1-4,19;24:1-8,62-67	Ps 106:1b-2,3-4a,4b-5	Matt 11:28	Matt 9:9-13
78	Ord Time XIII:Sat	I	Gen 27:1-5,15-29	Ps 135:1b-2,3-4,5-6	John 10:27	Matt 9:14-17
79	Ord Time XIV:Mon	I	Gen 28:10-22a	Ps 91:1-2,3-4,14-15ab	cf. 2 Tim 1:10	Matt 9:18-26
80	Ord Time XIV:Tue	I	Gen 32:23-33	Ps 17:1b,2-3,6-7ab,8b+15	John 10:14	Matt 9:32-38
81	Ord Time XIV:Wed	I	Gen 41:55-57;42:5-7a,17-24a	Ps 33:2-3,10-11,18-19	Mark 1:15	Matt 10:1-7
82	Ord Time XIV:Thu	I	Gen 44:18-21,23b-29;45:1-5	Ps 105:16-17,18-19,20-21	Mark 1:15	Matt 10:7-15
