Seq	PropersID	Year	Reference
1	Ord. Time, Week 5, Mon	1	Gen 1:1-19
2	Ord. Time, Week 5, Tues	1	Gen 1:20—2:4a
3	Ord. Time, Week 5, Wed	1	Gen 2:4b-9, 15-17
4	Ord. Time, Week 5, Thurs	1	Gen 2:18-25
5	Ord. Time, Week 5, Fri	1	Gen 3:1-8
6	Dec 8: Solemnity: Immaculate Conception of the BVMary	1+2	Gen 3:9-15, 20
7	Mon after Pentecost: BVMary, Mother of the Church (option 1)	1+2	Gen 3:9-15, 20
8	Ord. Time, Week 5, Sat	1	Gen 3:9-24
9	Ord. Time, Week 6, Mon	1	Gen 4:1-15, 25
10	Ord. Time, Week 6, Tues	1	Gen 6:5-8; 7:1-5, 10
11	Ord. Time, Week 6, Wed	1	Gen 8:6-13, 20-22
12	Ord. Time, Week 6, Thurs	1	Gen 9:1-13
13	Ord. Time, Week 6, Fri	1	Gen 11:1-9
14	Ord. Time, Week 12, Mon	1	Gen 12:1-9
15	Ord. Time, Week 12, Tues	1	Gen 13:2, 5-18
16	Ord. Time, Week 12, Wed	1	Gen 15:1-12, 17-18
17	Ord. Time, Week 12, Thurs	1	Gen 16:1-12, 15-16 or 16:6b-12, 15-16
18	Ord. Time, Week 12, Fri	1	Gen 17:1, 9-10, 15-22
19	Lent, Week 5, Thurs	1+2	Gen 17:3-9
20	Ord. Time, Week 12, Sat	1	Gen 18:1-15
21	Ord. Time, Week 13, Mon	1	Gen 18:16-33
22	Ord. Time, Week 13, Tues	1	Gen 19:15-29
23	Ord. Time, Week 13, Wed	1	Gen 21:5, 8-20a
24	Ord. Time, Week 13, Thurs	1	Gen 22:1b-19
25	Ord. Time, Week 13, Fri	1	Gen 23:1-4, 19; 24:1-8, 62-67
26	Ord. Time, Week 13, Sat	1	Gen 27:1-5, 15-29
27	Ord. Time, Week 14, Mon	1	Gen 28:10-22a
28	Ord. Time, Week 14, Tues	1	Gen 32:23-33
29	Lent, Week 2, Fri	1+2	Gen 37:3-4, 12-13a, 17b-28a
30	Ord. Time, Week 14, Wed	1	Gen 41:55-57; 42:5-7a, 17-24a
31	Ord. Time, Week 14, Thurs	1	Gen 44:18-21, 23b-29; 45:1-5
32	Ord. Time, Week 14, Fri	1	Gen 46:1-7, 28-30
33	Advent, Dec. 17	1+2	Gen 49:2, 8-10
34	Ord. Time, Week 14, Sat	1	Gen 49:29-32; 50:15-26a
35	Ord. Time, Week 15, Mon	1	Exod 1:8-14, 22
36	Ord. Time, Week 15, Tues	1	Exod 2:1-15a
37	Ord. Time, Week 15, Wed	1	Exod 3:1-6, 9-12
38	Ord. Time, Week 15, Thurs	1	Exod 3:13-20
39	Ord. Time, Week 15, Fri	1	Exod 11:10—12:14
40	Ord. Time, Week 15, Sat	1	Exod 12:37-42
41	Ord. Time, Week 16, Mon	1	Exod 14:5-18
42	Ord. Time, Week 16, Tues	1	Exod 14:21—15:1
43	Ord. Time, Week 16, Mon	1	Exod 15:1bc-2, 3-4, 5-6
44	Ord. Time, Week 16, Tues	1	Exod 15:8-9, 10+12, 17
45	Ord. Time, Week 16, Wed	1	Exod 16:1-5, 9-15
46	Lent, Week 3, opt. Mass	1+2	Exod 17:1-7
47	Ord. Time, Week 16, Thurs	1	Exod 19:1-2, 9-11, 16-20b
48	Ord. Time, Week 16, Fri	1	Exod 20:1-17
49	Oct 2: Holy Guardian Angels	1+2	Exod 23:20-23
50	Ord. Time, Week 16, Sat	1	Exod 24:3-8
51	Lent, Week 4, Thurs	1+2	Exod 32:7-14
52	Ord. Time, Week 17, Mon	1	Exod 32:15-24, 30-34
53	Ord. Time, Week 17, Tues	1	Exod 33:7-11; 34:5b-9, 28
54	Ord. Time, Week 17, Wed	1	Exod 34:29-35
55	Ord. Time, Week 17, Thurs	1	Exod 40:16-21, 34-38
56	Lent, Week 1, Mon	1+2	Lev 19:1-2, 11-18
57	Ord. Time, Week 17, Fri	1	Lev 23:1, 4-11, 15-16, 27, 34b-37
58	Ord. Time, Week 17, Sat	1	Lev 25:1, 8-17
59	Ord. Time, Week 18, Mon	1	Num 11:4b-15
60	Ord. Time, Week 18, Tues	1	Num 12:1-13
61	Ord. Time, Week 18, Wed	1	Num 13:1-2, 25—14:1, 26a-29a, 34-35
62	Ord. Time, Week 18, Thurs	1	Num 20:1-13
63	Lent, Week 5, Tues	1+2	Num 21:4-9
64	Sept 14: Feast: Exaltation of the Holy Cross	1+2	Num 21:4b-9
65	Advent, Week 3, Mon	1+2	Num 24:2-7, 15-17a
66	Lent, Week 3, Wed	1+2	Deut 4:1, 5-9
67	Ord. Time, Week 18, Fri	1	Deut 4:32-40
68	Ord. Time, Week 18, Sat	1	Deut 6:4-13
69	Ord. Time, Week 19, Mon	1	Deut 10:12-22
70	Lent, Week 1, Sat	1+2	Deut 26:16-19
71	Thursday after Ash Wed.	1+2	Deut 30:15-20
72	Ord. Time, Week 19, Tues	1	Deut 31:1-8
73	Ord. Time, Week 19, Tues	1	Deut 32:3-4ab, 7, 8, 9+12
74	Ord. Time, Week 17, Mon	2	Deut 32:18-19, 20, 21
75	Ord. Time, Week 20, Mon	2	Deut 32:18-19, 20, 21
76	Ord. Time, Week 20, Tues	2	Deut 32:26-27ab, 27cd-28, 30, 35cd-36ab
77	Ord. Time, Week 18, Fri	2	Deut 32:35cd-36ab, 39abcd, 41
78	Ord. Time, Week 19, Wed	1	Deut 34:1-12
79	Ord. Time, Week 19, Thurs	1	Josh 3:7-10a, 11, 13-17
80	Ord. Time, Week 19, Fri	1	Josh 24:1-13
81	Ord. Time, Week 19, Sat	1	Josh 24:14-29
82	Ord. Time, Week 20, Mon	1	Judg 2:11-19
83	Ord. Time, Week 20, Tues	1	Judg 6:11-24a
84	Ord. Time, Week 20, Wed	1	Judg 9:6-15
85	Ord. Time, Week 20, Thurs	1	Judg 11:29-39a
86	Advent, Dec. 19	1+2	Judg 13:2-7, 24-25a
87	Ord. Time, Week 20, Fri	1	Ruth 1:1, 3-6, 14b-16, 22
88	Ord. Time, Week 20, Sat	1	Ruth 2:1-3, 8-11; 4:13-17
89	Ord. Time, Week 1, Mon	2	1 Sam 1:1-8
90	Ord. Time, Week 1, Tues	2	1 Sam 1:9-20
91	Advent, Dec. 22	1+2	1 Sam 1:24-28
92	Advent, Dec. 22	1+2	1 Sam 2:1, 4-5, 6-7, 8abcd
93	Ord. Time, Week 1, Tues	2	1 Sam 2:1, 4-5, 6-7, 8abcd
94	Ord. Time, Week 1, Wed	2	1 Sam 3:1-10, 19-20
95	Ord. Time, Week 1, Thurs	2	1 Sam 4:1-11
96	Ord. Time, Week 1, Fri	2	1 Sam 8:4-7, 10-22a
97	Ord. Time, Week 1, Sat	2	1 Sam 9:1-4, 17-19; 10:1
98	Ord. Time, Week 2, Mon	2	1 Sam 15:16-23
99	Ord. Time, Week 2, Tues	2	1 Sam 16:1-13
100	Ord. Time, Week 2, Wed	2	1 Sam 17:32-33, 37, 40-51
101	Ord. Time, Week 2, Thurs	2	1 Sam 18:6-9; 19:1-7
102	Ord. Time, Week 2, Fri	2	1 Sam 24:3-21
103	Ord. Time, Week 2, Sat	2	2 Sam 1:1-4, 11-12, 19, 23-27
104	Ord. Time, Week 3, Mon	2	2 Sam 5:1-7, 10
105	Ord. Time, Week 3, Tues	2	2 Sam 6:12b-15, 17-19
106	Advent, Dec. 24 (morning Mass)	1+2	2 Sam 7:1-5, 8b-12, 14a, 16
107	March 19: Solemnity: St. Joseph, husband of the BVMary	1+2	2 Sam 7:4-5a, 12-14a, 16
108	Ord. Time, Week 3, Wed	2	2 Sam 7:4-17
109	Ord. Time, Week 3, Thurs	2	2 Sam 7:18-19, 24-29
110	Ord. Time, Week 3, Fri	2	2 Sam 11:1-4a, 5-10a, 13-17
111	Ord. Time, Week 3, Sat	2	2 Sam 12:1-7a, 10-17
112	Ord. Time, Week 4, Mon	2	2 Sam 15:13-14, 30; 16:5-13
113	Ord. Time, Week 4, Tues	2	2 Sam 18:9-10, 14b, 24-25a, 30—19:3
114	Ord. Time, Week 4, Wed	2	2 Sam 24:2, 9-17
115	Ord. Time, Week 4, Thurs	2	1 Kgs 2:1-4, 10-12
116	Ord. Time, Week 4, Sat	2	1 Kgs 3:4-13
117	Ord. Time, Week 5, Mon	2	1 Kgs 8:1-7, 9-13
118	Ord. Time, Week 5, Tues	2	1 Kgs 8:22-23, 27-30
119	Ord. Time, Week 5, Wed	2	1 Kgs 10:1-10
120	Ord. Time, Week 5, Thurs	2	1 Kgs 11:4-13
121	Ord. Time, Week 5, Fri	2	1 Kgs 11:29-32; 12:19
122	Ord. Time, Week 5, Sat	2	1 Kgs 12:26-32; 13:33-34
123	Ord. Time, Week 10, Mon	2	1 Kgs 17:1-6
124	Ord. Time, Week 10, Tues	2	1 Kgs 17:7-16
125	Ord. Time, Week 10, Wed	2	1 Kgs 18:20-39
126	Ord. Time, Week 10, Thurs	2	1 Kgs 18:41-46
127	Ord. Time, Week 10, Fri	2	1 Kgs 19:9a, 11-16
128	Ord. Time, Week 10, Sat	2	1 Kgs 19:19-21
129	Ord. Time, Week 11, Mon	2	1 Kgs 21:1-16
