Advent I	Dominica I Adventus
Advent II	Dominica II Adventus
Advent III	Dominica III Adventus (Gaudéte)
Advent IV	Dominica IV Adventus (Roráte)
All Saints	Omnium Sanctorum
Ascension of our Lord	In Ascensione Domini
Assumption of our Lady	In Assumptione Beatæ Mariæ Virginis
Christ the King	Domini Nostri Jesu Christi Regis
Easter II	Dominica II Post Pascha
Easter III	Dominica III Post Pascha
Easter IV	Dominica IV Post Pascha
Easter Sunday	Dominica Resurrectionis
Easter V	Dominica V Post Pascha
Epiphany II	Dominica II post Epiphaniam
Epiphany III	Dominica III Post Epiphaniam
Epiphany IV	Dominica IV Post Epiphaniam
Epiphany of our Lord	In Epiphania Domini
Epiphany V	Dominica V Post Epiphaniam
Epiphany VI	Dominica VI Post Epiphaniam
Holy Family	Sanctæ Familiæ Jesu Mariæ Joseph
Holy Name of Jesus	Sanctissimi Nominis Jesu
Lent I	Dominica I in Quadragesima
Lent II	Dominica II in Quadragesima
Lent III	Dominica III in Quadragesima
Lent IV	Dominica IV in Quadragesima
Low Sunday	Dominica in Albis in Octava Paschæ
Most Holy Name of Jesus	Sanctissimi Nominis Jesu
Most Holy Trinity	Sanctissimae Trinitatis Sollemnitas
Nativity of our Lord	In Nativitate Domini
Nativity of our Lord:Midnight	In Nativitate Domini
Palm Sunday	Dominica II Passionis seu in Palmis
Passion Sunday	Dominica I Passionis
Pentecost II	Dominica II Post Pentecosten
Pentecost III	Dominica III Post Pentecosten
Pentecost IV	Dominica IV Post Pentecosten
Pentecost IX	Dominica IX Post Pentecosten
Pentecost Sunday	Dominica Pentecostes
Pentecost V	Dominica V Post Pentecosten
Pentecost VI	Dominica VI Post Pentecosten
Pentecost VII	Dominica VII Post Pentecosten
Pentecost VIII	Dominica VIII Post Pentecosten
Pentecost X	Dominica X Post Pentecosten
Pentecost XI	Dominica XI Post Pentecosten
Pentecost XII	Dominica XII Post Pentecosten
Pentecost XIII	Dominica XIII Post Pentecosten
Pentecost XIV	Dominica XIV Post Pentecosten
Pentecost XIX	Dominica XIX Post Pentecosten
Pentecost XV	Dominica XV Post Pentecosten
Pentecost XVI	Dominica XVI Post Pentecosten
Pentecost XVII	Dominica XVII Post Pentecosten
Pentecost XVIII	Dominica XVIII Post Pentecosten
Pentecost XX	Dominica XX Post Pentecosten
Pentecost XXI	Dominica XXI Post Pentecosten
Pentecost XXII	Dominica XXII Post Pentecosten
Pentecost XXIII	Dominica XXIII Post Pentecosten
Pentecost XXIV	Dominica XXIV et Ultima Post Pentecosten
Pentecost XXV	Dominica XXV Post Pentecosten
Pentecost XXVI	Dominica XXVI Post Pentecosten
Pentecost XXVII	Dominica XXVII Post Pentecosten
Quinquagesima Sunday	Dominica in Quinquagesima
Septuagesima Sunday	Dominica in Septuagesima
Sexagesima Sunday	Dominica in Sexagesima
Ss Peter & Paul, Apostles	Ss Petrus et Paulus
Sunday after the Ascension	Dominica post Ascensionem
Sunday in the Octave of Christmas	Dominica Infra Octavam Nativitatis
Trinity Sunday	Dominica Sanctissimæ Trinitatis
