	MM-DD	LiturgicalProperName	Collect of the Day
2		Advent I	ALMIGHTY God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility; that in the last day, when he shall come again in his glorious Majesty, to judge both the quick and the dead; we may rise to the life immortal; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
3		Advent Ember Wednesday	GRANT, we beseech thee, almighty God: that the coming festival of our redemption may obtain for us the comfort of thy succour in this life, and in the life to come the reward of eternal felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
4		Advent Ember Friday	STIR UP, we beseech thee, O Lord, thy power, and come among us: that we, who put our trust and confidence in thy mercy, may speedily be delivered from all our adversities; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
5		Advent Ember Saturday	O GOD, who seest us to be sore afflicted by reason of the frailty of our mortal nature: grant, we beseech thee, that we may be relieved by thy gracious visitation; who livest and reignest with God the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
6		Advent II	BLESSED Lord, who hast caused all holy Scriptures to be written for our learning: grant that we may in such wise hear them, read, mark, learn, and inwardly digest them, that by patience and comfort of thy holy Word, we may embrace and ever hold fast the blessed hope of everlasting life, which thou hast given us in our Saviour Jesus Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
7		Advent II (alt)	STIR UP our hearts, O Lord, to prepare the ways of thine Only Begotten Son: that through his advent we may be worthy to serve thee with purified minds; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
8		Advent III	O LORD Jesus Christ, who at thy first coming didst send thy messenger to prepare thy way before thee: grant that the ministers and stewards of thy mysteries may likewise so prepare and make ready thy way, by turning the hearts of the disobedient to the wisdom of the just; that at thy second coming to judge the world we may be found an acceptable people in thy sight; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
9		17 December (O Sapientia antiphon)	O WISDOM, which camest out of the mouth of the Most High, and reachest from one end to another, mightily and sweetly ordering all things: come and teach us the way of prudence.
10		18 December (O Adonaï antiphon)	O ADONAI, and Leader of the house of Israel, who appearedst in the bush to Moses in a flame of fire, and gavest him the Law in Sinai: come and deliver us with an outstretched arm.
11		19 December (O Radix Jesse antiphon)	O ROOT OF JESSE, which standest for an ensign of the peoples, at whom kings shall shut their mouths, to whom the Gentiles shall seek: come and deliver us, and tarry not.
12		20 December (O Clavis David antiphon)	O KEY OF DAVID, and Sceptre of the house of Israel; that openest, and no man shutteth, and shuttest, and no man openeth: come and bring the prisoner out of the prison-house, and him that sitteth in darkness and the shadow of death.
13		21 December (O Oriens antiphon)	O DAY-SPRING, Brightness of the Light everlasting and Sun of righteousness: come and enlighten him that sitteth in darkness and in the shadow of death.
14		22 December (O Rex gentium antiphon)	O KING OF THE NATIONS, and their Desire; the Corner-stone, who makest both one: come and save mankind, whom thou formedst of clay.
15		23 December (O Emmanuel antiphon)	O EMMANUEL, our King and Lawgiver, the Desire of all nations and their  Salvation: come and save us, O Lord our God.
16		Advent IV	RAISE UP, we beseech thee, O Lord, thy power, and come among us, and with great might succour us: that whereas, through our sins and wickedness, we are sorely hindered in running the race that is set before us, thy bountiful grace and mercy may speedily help and deliver us; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
17		17 December	O GOD, the Creator and Redeemer of all mankind, who didst will that thy Word should take flesh in an ever-virgin womb: mercifully hear our prayers; that thine Only Begotten Son, who hath taken unto himself our humanity, may graciously grant us a share in his divinity; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
18		18 December	GRANT, we beseech thee, almighty God: that we, who through our ancient bondage are held beneath the yoke of sin; may by the new birth of thine Only Begotten Son in the flesh obtain deliverance; through the same Jesus Christ thy Son our Lord,  who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
19		19 December	O GOD, who through the child-bearing of the holy Virgin hast graciously revealed the brightness of thy glory unto all the world: grant, we beseech thee; that we may worship with purity of faith the mystery of so wondrous an Incarnation, and always celebrate it with due reverence; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
20		20 December	O GOD, eternal majesty, whose ineffable Word the immaculate Virgin received by the message of an Angel, and so became the dwelling place of divinity filled with the light of the Holy Spirit: grant, we beseech thee; that by her example we may in humility hold fast to thy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
21		21 December	WE BESEECH thee, O Lord, to hear the prayers of thy people: that those who rejoice at the advent of thine Only Begotten Son in our flesh; may, when at last he cometh in glory, obtain the reward of eternal life; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
22		22 December	O GOD, who seeing man sunk in death didst will to redeem him by the advent of thine Only Begotten Son: grant, we beseech thee; that those who confess with humble devotion his Incarnation may also merit participation in him as the Redeemer; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
23		23 December	ALMIGHTY and everlasting God: as the Nativity of thy Son according to the flesh draweth nigh; we beseech thee; that to us thine unworthy servants thy Word may grant mercy, for he vouchsafed to be made flesh of the Virgin Mary and dwell among us; even Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
24		24 December	RAISE UP, we beseech thee, O Lord, thy power, and come among us, and with great might succour us: that whereas, through our sins and wickedness, we are sorely hindered in running the race that is set before us, thy bountiful grace and mercy may speedily help and deliver us; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
25		Christmas Eve	O GOD, who makest us glad with the yearly remembrance of the birth of thy only Son Jesus Christ: grant that as we joyfully receive him as our Redeemer, we may with sure confidence behold him when he shall come again to be our Judge; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
26		Christmas Night	O GOD, who hast caused this most holy night to shine with the brightness of the Light of life: grant, we beseech thee, that as we have known the revelation of his light upon earth, so may we attain his heavenly joys; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
27		Christmas Dawn	GRANT to us, we beseech thee, Almighty God: that, as thou hast poured forth upon us the new light of thine incarnate Word; so he, who doth illuminate our hearts by faith, may likewise in all our works show forth his brightness; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
28		Christmas	ALMIGHTY God, who hast given us thy Only Begotten Son to take our nature upon him, and as at this time to be born of a pure Virgin: grant that we being regenerate, and made thy children by adoption and grace; may daily be renewed by thy Holy Spirit; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
29		The Holy Family	O LORD Jesus Christ, who by thy wondrous holiness didst adorn a human home, and by thy subjection to Mary and Joseph didst consecrate the order of earthly families: grant that we, being enlightened by the example of their life with thee in thy Holy Family, and assisted by their prayers; may at last be joined with them in thine eternal fellowship; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
30		Mary, Mother of God	O GOD, who by the fruitful virginity of Blessed Mary, hast bestowed upon mankind the reward of eternal salvation: grant, we beseech thee, that we may know the help of her intercession, through whom we have been accounted worthy to receive the Author of our life, Jesus Christ thy Son our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
31		Christmas II	ALMIGHTY God, who didst wonderfully create man in thine own image, and didst yet more wonderfully restore him: grant, we beseech thee, that as thy Son our Lord Jesus Christ was made in the likeness of men, so we may be made partakers of the divine nature; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
32		Epiphany of Our Lord	O GOD, who by the leading of a star didst manifest thy Only Begotten Son to the Gentiles: mercifully grant, that we, who know thee now by faith, may be led onward through this earthly life, until we see the vision of thy heavenly glory; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
33		Baptism of Our Lord	HEAVENLY Father, whose blessed Son Jesus Christ did take our nature upon him, and was baptized for our sakes in the river Jordan: mercifully grant that we, being regenerate and made thy children by adoption and grace, may also be partakers of thy Holy Spirit; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
34		Epiphany II	ALMIGHTY and everlasting God, who dost govern all things in heaven and earth: mercifully hear the supplications of thy people; and grant us thy peace all the days of our life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
35		Epiphany III	ALMIGHTY and everlasting God: mercifully look upon our infirmities; and in all our dangers and necessities, stretch forth thy right hand to help and defend us; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
36		Epiphany IV	O GOD, who knowest us to be set in the midst of so many and great dangers, that by reason of the frailty of our nature we cannot always stand upright: grant to us such strength and protection, as may support us in all dangers, and carry us through all temptations; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
37		Epiphany V	O LORD, we beseech thee to keep thy Church and household continually in thy true religion: that they who do lean only upon the hope of thy heavenly grace; may evermore be defended by thy mighty power; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
38		Epiphany VI	O GOD, whose blessed Son was manifested that he might destroy the works of the devil, and make us the sons of God, and heirs of eternal life: grant us, we beseech thee, that, having this hope, we may purify ourselves, even as he is pure; that, when he shall appear again with power and great glory, we may be made like unto him in his eternal and glorious kingdom; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
