LiturgicalProperName	INTROIT ANTIPHON	Antiphon	Verse	COLLECT OF THE DAY	GOSPEL ANTIPHON	Verse	OFFERTORY ANTIPHON	OFFERTORY COLLECT ≡ ORATIO SECRETA	PROPER PREFACE	COMMUNION ANTIPHON	Antiphon	POSTCOMMUNION COLLECT	SEQUENCE	Seq
			 ✠Glory be &c											
Advent I	Ad te levavi. Psalm  25.	UNTO thee, O Lord, will I lift up my soul: my God, I have put my trust in thee, O let me not be confounded: neither let mine enemies triumph over me * for all they that hope in thee shall not be ashamed.	Psalm ibid. Shew me thy ways, O Lord * and teach me thy paths. ✠Glory be &c	ALMIGHTY God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility; that in the last day, when he shall come again in his glorious Majesty, to judge both the quick and the dead; we may rise to the life immortal; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 85.	Alleluia, alleluia. Shew us thy mercy, O Lord * and grant us thy salvation. Alleluia.	Psalm 25. Unto thee, O Lord, will I lift up my soul: my God, I have put my trust in thee, O let me not be confounded: neither let mine enemies triumph over me * for all they that hope in thee shall not be ashamed.	GRANT, we beseech thee, O Lord, that the effectual power of these thy holy mysteries may in such wise cleanse us from all our iniquities that we may in all purity attain unto him who is the author of the same, even Jesus Christ, thy Son, our Lord, Who liveth and reigneth with thee.		Psalm 85.	The Lord shall shew loving-kindness * and our land shall give her increase.	GRANT to us, O Lord, we beseech thee: so to wait for thy loving kindness in the midst of thy Temple, that in readiness of heart and mind we may hail the coming feast of our redemption. Through &c.		1
Advent II	Populus Sion. Isaiah 30.	O PEOPLE of Sion, behold, the Lord is nigh at hand to redeem the nations * and in the gladness of your heart the Lord shall cause his glorious voice to be heard.	Psalm 80. Hear, O thou Shepherd of Israel * thou that leadest Joseph like a sheep. ✠Glory be &c	BLESSED Lord, who hast caused all holy Scriptures to be written for our learning: grant that we may in such wise hear them, read, mark, learn, and inwardly digest them, that by patience and comfort of thy holy Word, we may embrace and ever hold fast the blessed hope of everlasting life, which thou hast given us in our Saviour Jesus Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 122.	Alleluia, alleluia. I was glad when they said unto me * we will go into the house of the Lord. Alleluia.	Psalm 85. Wilt thou not turn again, O God, and quicken us, that thy people may rejoice in thee * shew us thy mercy, O Lord, and grant us thy salvation.	WE BESEECH thee, O Lord, mercifully to accept the prayers and oblations of us thy humble servants: that we, who can do nothing of ourselves to help ourselves, may be defended by the succour of thy grace.		Baruch 4.	Arise, O Jerusalem, and stand on high, and behold the joy that cometh unto thee from thy God.	O LORD, who hast vouchsafed to satisfy us with heavenly sustenance: we humbly beseech thee; that we, who thou hast made partakers of thy holy mysteries, may learn therein to despise all things earthly, and to cleave stedfastly unto all things heavenly. Through &c.		2
Advent III	Gaudete. Philippians 4.	REJOICE in the Lord alway: and again I say, Rejoice: let your moderation be known unto all men: the Lord is at hand. Be careful for nothing * but in every thing, by prayer and supplication, with thanksgiving, let your requests be made known unto God.	Psalm 85. Lord, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob. ✠Glory be &c	O LORD Jesus Christ, who at thy first coming didst send thy messenger to prepare thy way before thee: grant that the ministers and stewards of thy mysteries may likewise so prepare and make ready thy way, by turning the hearts of the disobedient to the wisdom of the just; that at thy second coming to judge the world we may be found an acceptable people in thy sight; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.		Alleluia, alleluia. Stir up thy strength, O Lord * and come and help us. Alleluia.	Psalm 85. Lord, thou art become gracious unto thy land: thou hast turned away the captivity of Jacob * thou hast forgiven the offence of thy people.	GRANT, we beseech thee, O Lord, that the continual oblation of this our bounden duty and service: may evermore avail for the fulfilment of the institution of thine ordinance and for the accomplishment in us of the wondrous work of thy salvation.  Through &c		Isaiah 35.	Say to them that are of a fearful heart: Be strong, fear not * behold your God will come and save you.	HAVE mercy upon us, O Lord, we beseech thee: and grant that the heavenly assistance of thy holy mysteries may so cleanse us from all our iniquities, that we may be made ready worthily to keep thy coming festival. Through &c.		3
Advent IV	Rorate coeli. Isaiah 45.	DROP down, ye heavens, from above, and let the skies pour down righteousness * let the earth open and bring forth a Saviour.	Psalm 19. The heavens declare the glory of God * and the firmament sheweth his handy-work. ✠Glory be &c	RAISE UP, we beseech thee, O Lord, thy power, and come among us, and with great might succour us: that whereas, through our sins and wickedness, we are sorely hindered in running the race that is set before us, thy bountiful grace and mercy may speedily help and deliver us; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.		Alleluia, alleluia. Come, O Lord, and tarry not * forgive the misdeeds of thy people. Alleluia.	St Luke 1. Hail Mary, full of grace: the Lord is with thee * blessed art thou among women, and blessed is the fruit of thy womb.	WE beseech thee, O Lord, mercifully to have respect unto these our oblations: that the same may be profitable unto us for our increase in all godliness, and for the attainment of everlasting salvation. Through.		Isaiah 7.	Behold, a Virgin shall conceive and bear a Son * and his Name shall be called Emmanuel.	O LORD, who hast here vouchsafed unto us to be partakers of thy bounty: grant, we beseech thee, that we may so continue to draw near unto the same; that growing more and more in grace, we may attain in the end to everlasting life. Through &c.		4
Christmas	Puer natus est. Isaiah 9.	UNTO us a Child is born, unto us a Son is given: and the government shall be upon his shoulder * and his Name shall be called, Angel of mighty counsel.	Psalm 98. O sing unto the Lord a new song * for he hath done marvellous things. ✠Glory be &c	ALMIGHTY God, who hast given us thy Only Begotten Son to take our nature upon him, and as at this time to be born of a pure Virgin: grant that we being regenerate, and made thy children by adoption and grace; may daily be renewed by thy Holy Spirit; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Hebrews 1.	Alleluia, alleluia. A hallowed day hath dawned upon us: come, all ye nations, and worship the Lord * for on this day a great light hath descended upon the earth. Alleluia.	Psalm 89. The heavens are thine, the earth also is thine: thou hast laid the foundation of the round world, and all that therein is * righteousness and equity are the habitation of thy seat.	WE beseech thee, O Lord, that by this new Birth of thy only-begotten Son thou wouldest vouchsafe to sanctify these our oblations: and to cleanse us from the defilement of all our iniquities. Through the same.		Psalm 98.	All the ends of the world have seen * the salvation of our God.	GRANT, we beseech thee, Almighty God: that like as thy Son, born this day the Saviour of the world, hath been made the author of our heavenly birth; so he may bestow upon us the gift of everlasting life, who &c		7
Mary, Mother of God	Puer natus est. Isaiah 9.	UNTO us a Child is born, unto us a Son is given * and the government shall be upon his shoulder; and his Name shall be called Angel of mighty counsel.	Psalm 98. O sing unto the Lord a new song * for he hath done marvellous things. ✠Glory be &c	O GOD, who by the fruitful virginity of Blessed Mary, hast bestowed upon mankind the reward of eternal salvation: grant, we beseech thee, that we may know the help of her intercession, through whom we have been accounted worthy to receive the Author of our life, Jesus Christ thy Son our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Hebrews 1.	Alleluia. alleluia. God, who at sundry times and in divers manners spake in time past unto the fathers by the Prophets, hath in these last days spoken unto us by his Son. Alleluia.	Psalm 89. The heavens are thine, the earth also is thine: thou hast laid the foundations of the round world, and all that therein is * righteousness and equity are the habitation of thy seat.	We beseech thee, O Lord, graciously to accept these our prayers and oblations: that we being cleansed by these heavenly mysteries, may obtain of thy great mercy the fulfilment of all our desires.  Through &c		Psalm 98.	All the ends of the world have seen * the salvation of our God.	GRANT, we beseech thee, Almighty God: that like as thy Son, born this day the Saviour of the world, hath been made the author of our heavenly birth; so he may bestow upon us the gift of everlasting life, who &c		8
The Holy Family	Dum medium. Wisdom 18.	WHEN all things were in quiet silence and night was in the midst of her swift course, thine almighty Word, O Lord, leaped down from heaven out of thy royal throne.	Psalm 93. the Lord is King, and hath put on glorious apparel * the Lord hath put on his apparel and girded himself with strength. ✠Glory be &c	O LORD Jesus Christ, who by thy wondrous holiness didst adorn a human home, and by thy subjection to Mary and Joseph didst consecrate the order of earthly families: grant that we, being enlightened by the example of their life with thee in thy Holy Family, and assisted by their prayers; may at last be joined with them in thine eternal fellowship; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 93.	Alleluia, alleluia. The Lord is King and hath put on glorious apparel * the Lord hath put on his apparel and girded himself with strength. Alleluia.	Psalm 93. God hath made the round world so sure, that it cannot be moved * ever since the world began hath thy seat, O God, been prepared, thou art from everlasting.	Grant, we beseech thee, Almighty God: that these gifts which we offer in the sight of thy divine majesty, may obtain for us grace to serve thee in this life with all godliness, and bring us in the end to everlasting life. Through.		St Matthew 2.	Take the young child and his mother, and go into the land of Israel * for they are dead which sought the young child's life.	GRANT, O Lord, that by the operation of these thy mysteries, we may be cleansed from all our sins, and obtain that which we have asked according to thy will. Through &c.		9
Christmas II	Dum medium. Wisdom 18.	WHEN all things were in quiet silence and night was in the midst of her swift course, thine almighty Word, O Lord, leaped down from heaven out of thy royal throne.	Psalm 93. the Lord is King, and hath put on glorious apparel * the Lord hath put on his apparel and girded himself with strength. ✠Glory be &c	ALMIGHTY God, who didst wonderfully create man in thine own image, and didst yet more wonderfully restore him: grant, we beseech thee, that as thy Son our Lord Jesus Christ was made in the likeness of men, so we may be made partakers of the divine nature; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	St Luke 2.	Alleluia, alleluia. And after eight days were accomplished, that the child should be circumcised, his name was called JESUS, which was called by the angel, before he was conceived in the womb. Alleluia.	Psalm 93. God hath made the round world so sure, that it cannot be moved * ever since the world began hath thy seat, O God, been prepared; thou art from everlasting.	Grant, we beseech thee, Almighty God: that these gifts which we offer in the sight of thy divine majesty, may obtain for us grace to serve thee in this life with all godliness, and bring us in the end to everlasting life. Through.		St Matthew 2.	Take the young child and his mother, and go into the land of Israel * for they are dead which sought the young child's life.	GRANT, O Lord, that by the operation of these thy mysteries, we may be cleansed from all our sins, and obtain that which we have asked according to thy will. Through &c.		10
Candlemas	Suscépimus, Deus. Psalm 47.	WE have received Thy mercy, O God, in the midst of Thy temple; according to Thy Name, O God, so also is Thy praise unto the ends of the earth * Thy right hand is full of justice.	Psalm ibid. Great is the Lord, and exceedingly to be praised, in the city of God, in His holy mountain. ✠Glory be &c	ALMIGHTY and everliving God, we humbly beseech thy majesty: that, as thine Only Begotten Son was this day presented in the temple in substance of our flesh; so we may be presented unto thee with pure and clean hearts, by the same thy Son Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	St Luke 2.	Alleluia, alleluia. An old man was carrying a Child; * but the Child was the old man’s Lord. Alleluia.	Psalm 44. Grace is poured abroad in thy lips; * therefore hath God blessed thee for ever, and for ages of ages.	O Lord, graciously hear our prayers: and that the gifts we offer in the sight of Thy Majesty may be worthy, grant us the help of Thy mercy. Through our Lord &c.		St Luke 2.	Simeon received an answer from the Holy Ghost, that he should not see death * until he had seen the Christ of the Lord.	WE beseech Thee, O Lord our God, that the most holy Mysteries, which Thou hast given us to safeguard our regenerated nature, may, through the intercession of blessed Mary ever Virgin, be to us a healing remedy, both for the present and for the future. Through our Lord &c.		
