Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm1.1	1 BLESSED is the man that hath not walked in the counsel of the ungodly, nor stood in the way of sinners * and hath not sat in the seat of the scornful.	BLESSED is the man that hath not walked in the counsel of the ungodly, nor stood in the way of sinners * and hath not sat in the seat of the scornful.	1001	2
Psalm1.2	2 But his delight is in the law of the Lord * and in his law will he exercise himself day and night.	But his delight is in the law of the Lord * and in his law will he exercise himself day and night.	1002	3
Psalm1.3	3 And he shall be like a tree planted by the water-side * that will bring forth his fruit in due season.	And he shall be like a tree planted by the water-side * that will bring forth his fruit in due season.	1003	4
Psalm1.4	4 His leaf also shall not wither * and look, whatsoever he doeth, it shall prosper.	His leaf also shall not wither * and look, whatsoever he doeth, it shall prosper.	1004	5
Psalm1.5	5 As for the ungodly, it is not so with them * but they are like the chaff, which the wind scattereth away from the face of the earth.	As for the ungodly, it is not so with them * but they are like the chaff, which the wind scattereth away from the face of the earth.	1005	6
Psalm1.6	6 Therefore the ungodly shall not be able to stand in the judgement * neither the sinners in the congregation of the righteous.	Therefore the ungodly shall not be able to stand in the judgement * neither the sinners in the congregation of the righteous.	1006	7
Psalm1.7	7 But the Lord knoweth the way of the righteous * and the way of the ungodly shall perish.	But the Lord knoweth the way of the righteous * and the way of the ungodly shall perish.	1007	8
Psalm2.0	Psalm 2. Quare fremuerunt gentes?	Psalm 2. Quare fremuerunt gentes?	2000	9
Psalm2.1	1 WHY do the heathen so furiously rage together * and why do the people imagine a vain thing?	WHY do the heathen so furiously rage together * and why do the people imagine a vain thing?	2001	10
Psalm2.2	2 The kings of the earth stand up, and the rulers take counsel together * against the Lord, and against his Anointed.	The kings of the earth stand up, and the rulers take counsel together * against the Lord, and against his Anointed.	2002	11
Psalm2.3	3 Let us break their bonds asunder * and cast away their cords from us.	Let us break their bonds asunder * and cast away their cords from us.	2003	12
Psalm2.4	4 He that dwelleth in heaven shall laugh them to scorn * the Lord shall have them in derision.	He that dwelleth in heaven shall laugh them to scorn * the Lord shall have them in derision.	2004	13
Psalm2.5	5 Then shall he speak unto them in his wrath * and vex them in his sore displeasure.	Then shall he speak unto them in his wrath * and vex them in his sore displeasure.	2005	14
Psalm2.6	6 Yet have I set my King * upon my holy hill of Sion.	Yet have I set my King * upon my holy hill of Sion.	2006	15
Psalm2.7	7 I will preach the law, whereof the Lord hath said unto me * Thou art my Son, this day have I begotten thee.	I will preach the law, whereof the Lord hath said unto me * Thou art my Son, this day have I begotten thee.	2007	16
Psalm2.8	8 Desire of me, and I shall give thee the heathen for thine inheritance * and the utmost parts of the earth for thy possession.	Desire of me, and I shall give thee the heathen for thine inheritance * and the utmost parts of the earth for thy possession.	2008	17
Psalm2.9	9 Thou shalt bruise them with a rod of iron * and break them in pieces like a potter's vessel.	Thou shalt bruise them with a rod of iron * and break them in pieces like a potter's vessel.	2009	18
Psalm2.10	10 Be wise now therefore, O ye kings * be learned, ye that are judges of the earth.	Be wise now therefore, O ye kings * be learned, ye that are judges of the earth.	2010	19
Psalm2.11	11 Serve the Lord in fear * and rejoice unto him with reverence.	Serve the Lord in fear * and rejoice unto him with reverence.	2011	20
