BookName	BookNameLong	ChapCount	CanonType	ProtocanonSeq	CatholicCanonSeq	BookName_Protocanon	BookName_BG-VULGATE	ChapCount_BG-VULGATE	BookName_BG-RSV	BookName_BG-NRSVA	BookName_BG-SBLGNT	BookName_BG-DHH	BookName_BG-WLC	BookName_NA-Septuagint	ChapCount_NA-VULGATE	BlankColumnRequiredForRICKSRepo
Genesis	Book of Genesis	50	OT	1	1	Genesis	Genesis	50	Genesis	Genesis		Génesis	בראשית	Genesis	50	
Exodus	Book of Exodus	40	OT	2	2	Exodus	Exodus	40	Exodus	Exodus		Éxodo	שמות	Exodus	40	
Leviticus	Book of Leviticus	27	OT	3	3	Leviticus	Leviticus	27	Leviticus	Leviticus		Levítico	ויקרא	Leviticus	27	
Numbers	Book of Numbers	36	OT	4	4	Numbers	Numeri	36	Numbers	Numbers		Números	במדבר	Numbers	36	
Deuteronomy	Book of Deuteronomy	34	OT	5	5	Deuteronomy	Deuteronomium	34	Deuteronomy	Deuteronomy		Deuteronomio	דברים	Deuteronomy	34	
Joshua	Book of Joshua	24	OT	6	6	Joshua	Josue	24	Joshua	Joshua		Josué	יהושע	Joshua	24	
Judges	Book of Judges	21	OT	7	7	Judges	Judicum	21	Judges	Judges		Jueces	שופטים	Judges	21	
Ruth	Book of Ruth	4	OT	8	8	Ruth	Ruth	4	Ruth	Ruth		Rut	רות	Ruth	4	
1 Samuel	First Book of Samuel	31	OT	9	9	1 Samuel	I Samuhel	31	1 Samuel	1 Samuel		1 Samuel	שמואל א	1 Kings	31	
2 Samuel	Second Book of Samuel	24	OT	10	10	2 Samuel	II Samuhel	24	2 Samuel	2 Samuel		2 Samuel	שמואל ב	2 Kings	24	
1 Kings	First Book of Kings	22	OT	11	11	1 Kings	I Regum	22	1 Kings	1 Kings		1 Reyes	מלכים א	3 Kings	22	
2 Kings	First Book of Kings	25	OT	12	12	2 Kings	II Regum	25	2 Kings	2 Kings		2 Reyes	מלכים ב	4 Kings	25	
1 Chronicles	First Book of Chronicles	29	OT	13	13	1 Chronicles	I Paralipomenon	29	1 Chronicles	1 Chronicles		1 Crónicas	דברי הימים א	1 Chronicles	29	
2 Chronicles	Second Book of Chronicles	36	OT	14	14	2 Chronicles	II Paralipomenon	36	2 Chronicles	2 Chronicles		2 Crónicas	דברי הימים ב	2 Chronicles	36	
Ezra	Book of Ezra	10	OT	15	15	Ezra	Esdrae	10	Ezra	Ezra		Esdras	עזרא	1 Esdras	10	
Nehemiah	Book of Nehemiah	13	OT	16	16	Nehemiah	Nehemiae	13	Nehemiah	Nehemiah		Nehemías	נחמיה	Nehemiah	13	
Esther	Book of Esther	10	OT	17	19	Esther	Esther	10	Esther	Esther		Ester	אסתר	Esther	10	
Job	Book of Job	42	OT	18	22	Job	Job	42	Job	Job		Job	איוב	Job	42	
Psalms	Book of Psalms	150	OT	19	23	Psalm	Psalmi	150	Psalm	Psalm		Salmos	תהילים	Psalms	150	
Proverbs	Book of Proverbs	31	OT	20	24	Proverbs	Proverbia	31	Proverbs	Proverbs		Proverbios	משלי	Proverbs	31	
Ecclesiastes	Book of Ecclesiastes	12	OT	21	25	Ecclesiastes	Ecclesiastes	12	Ecclesiastes	Ecclesiastes		Eclesiastés	קהלת	Ecclesiastes	12	
Song of Solomon	Song of Solomon	8	OT	22	26	Song of Solomon	Canticum Canticorum	8	Song of Solomon	Song of Solomon		Cantares	שיר השירים	Song of Solomon	8	
Isaiah	Book of the Prophet Isaiah	66	OT	23	29	Isaiah	Isaias	66	Isaiah	Isaiah		Isaías	ישעה	Isaiah	66	
Jeremiah	Book of the Prophet Jeremiah	52	OT	24	30	Jeremiah	Jeremias	52	Jeremiah	Jeremiah		Jeremías	ירמיה	Jeremiah	52	
Lamentations	Book of the Lamentations of the Prophet Jeremiah	5	OT	25	31	Lamentations	Lamentationes	5	Lamentations	Lamentations		Lamentaciones	איכה	Lamentations	5	
Ezekiel	Book of the Prophet Ezekiel	48	OT	26	33	Ezekiel	Ezechiel	48	Ezekiel	Ezekiel		Ezequiel	יחזקאל	Ezekiel	48	
Daniel	Book of the Prophet Daniel	12	OT	27	34	Daniel	Daniel	14	Daniel	Daniel		Daniel	דניאל	Daniel	14	
Hosea	Book of the Prophet Hosea	14	OT	28	35	Hosea	Osee	14	Hosea	Hosea		Oseas	הושע	Hosea	14	
Joel	Book of the Prophet Joel	3	OT	29	36	Joel	Joel	3	Joel	Joel		Joel	יואל	Joel	3	
Amos	Book of the Prophet Amos	9	OT	30	37	Amos	Amos	9	Amos	Amos		Amós	עמוס	Amos	9	
Obadiah	Book of the Prophet Obadiah	1	OT	31	38	Obadiah	Abdias	1	Obadiah	Obadiah		Abdías	עבדיה	Obadiah	1	
Jonah	Book of the Prophet Jonah	4	OT	32	39	Jonah	Jonas	4	Jonah	Jonah		Jonás	יונה	Jonah	4	
Micah	Book of the Prophet Micah	7	OT	33	40	Micah	Michaea	7	Micah	Micah		Miqueas	מיכה	Micah	7	
Nahum	Book of the Prophet Nahum	3	OT	34	41	Nahum	Nahum	3	Nahum	Nahum		Nahúm	נחום	Nahum	3	
Habakkuk	Book of the Prophet Habakkuk	3	OT	35	42	Habakkuk	Habacuc	3	Habakkuk	Habakkuk		Habacuc	חבקוק	Habakkuk	3	
Zephaniah	Book of the Prophet Zephaniah	3	OT	36	43	Zephaniah	Sophonias	3	Zephaniah	Zephaniah		Sofonías	צפניה	Zephaniah	3	
Haggai	Book of the Prophet Haggai	2	OT	37	44	Haggai	Aggaeus	2	Haggai	Haggai		Hageo	חגי	Haggai	2	
Zechariah	Book of the Prophet Zechariah	14	OT	38	45	Zechariah	Zacharias	14	Zechariah	Zechariah		Zacarías	זכריה	Zechariah	14	
Malachi	Book of the Prophet Malachi	4	OT	39	46	Malachi	Malachias	4	Malachi	Malachi		Malaquías	מלאכי	Malachi	4	
Matthew	Gospel according to St Matthew	28	NT	40	47	Matthew	Secundum Matthaeum	28	Matthew	Matthew	ΚΑΤΑ ΜΑΤΘΑΙΟΝ	Mateo		Matthew	28	
Mark	Gospel according to St Mark	16	NT	41	48	Mark	Secundum Marcum	16	Mark	Mark	ΚΑΤΑ ΜΑΡΚΟΝ	Marcos		Mark	16	
Luke	Gospel according to St Luke	24	NT	42	49	Luke	Secundum Lucam	24	Luke	Luke	ΚΑΤΑ ΛΟΥΚΑΝ	Lucas		Luke	24	
John	Gospel according to St John	21	NT	43	50	John	Secundum Ioannem	21	John	John	ΚΑΤΑ ΙΩΑΝΝΗΝ	Juan		John	21	
Acts	Acts of the Apostles	28	NT	44	51	Acts	Actus Apostolorum	28	Acts	Acts	ΠΡΑΞΕΙΣ ΤΩΝ ΑΠΟΣΤΟΛΩΝ	Hechos		Acts	28	
Romans	Epistle of St Paul to the Romans	16	NT	45	52	Romans	Ad Romanos	16	Romans	Romans	ΠΡΟΣ ΡΩΜΑΙΟΥΣ	Romanos		Romans	16	
1 Corinthians	First Epistle of St Paul to the Corinthians	16	NT	46	53	1 Corinthians	Ad Corinthios I	16	1 Corinthians	1 Corinthians	ΠΡΟΣ ΚΟΡΙΝΘΙΟΥΣ Α΄	1 Corintios		1 Corinthians	16	
2 Corinthians	Second Epistle of St Paul to the Corinthians	13	NT	47	54	2 Corinthians	Ad Corinthios II	13	2 Corinthians	2 Corinthians	ΠΡΟΣ ΚΟΡΙΝΘΙΟΥΣ Β΄	2 Corintios		2 Corinthians	13	
Galatians	Epistle of St Paul to the Galatians	6	NT	48	55	Galatians	Ad Galatas	6	Galatians	Galatians	ΠΡΟΣ ΓΑΛΑΤΑΣ	Gálatas		Galatians	6	
Ephesians	Epistle of St Paul to the Ephesians	6	NT	49	56	Ephesians	Ad Ephesios	6	Ephesians	Ephesians	ΠΡΟΣ ΕΦΕΣΙΟΥΣ	Efesios		Ephesians	6	
Philippians	Epistle of St Paul to the Philippians	4	NT	50	57	Philippians	Ad Philippenses	4	Philippians	Philippians	ΠΡΟΣ ΦΙΛΙΠΠΗΣΙΟΥΣ	Filipenses		Philippians	4	
Colossians	Epistle of St Paul to the Colossians	4	NT	51	58	Colossians	Ad Colossenses	4	Colossians	Colossians	ΠΡΟΣ ΚΟΛΟΣΣΑΕΙΣ	Colosenses		Colossians	4	
1 Thessalonians	First Epistle of St Paul to the Thessalonians	5	NT	52	59	1 Thessalonians	Ad Thessalonicenses I	5	1 Thessalonians	1 Thessalonians	ΠΡΟΣ ΘΕΣΣΑΛΟΝΙΚΕΙΣ Α΄	1 Tesalonicenses		1 Thessalonians	5	
