BookID	SeqID_USFM	ChapCounts	CanonType	BookName	BookNameAnnouncedByLector	BookName_es_Common	BookName_he_Common	BookName_he_Common	BookName_la_Common	BookName_NRSV	BookName_RSV	BookNotesUSFM	BlankColumn
GEN	01	50	OT	Genesis	Book of Genesis	Génesis	בראשית		Genesis	Genesis	Genesis		
EXO	02	40	OT	Exodus	Book of Exodus	Éxodo	שמות		Exodus	Exodus	Exodus		
LEV	03	27	OT	Leviticus	Book of Leviticus	Levítico	ויקרא		Leviticus	Leviticus	Leviticus		
NUM	04	36	OT	Numbers	Book of Numbers	Numeros	במדבר		Numeri	Numbers	Numbers		
DEU	05	34	OT	Deuteronomy	Book of Deuteronomy	Deuteronomio	דברים		Deuteronomium	Deuteronomy	Deuteronomy		
JOS	06	24	OT	Joshua	Book of Joshua	Josué	יהושע		Josue	Joshua	Joshua		
JDG	07	21	OT	Judges	Book of Judges	Jueces	שופטים		Judicum	Judges	Judges		
RUT	08	4	OT	Ruth	Book of Ruth	Rut	רות		Ruth	Ruth	Ruth		
1SA	09	31	OT	1 Samuel	First Book of Samuel	1 Samuel	שמואל א		I Samuhel	1 Samuel	1 Samuel		
2SA	10	24	OT	2 Samuel	Second Book of Samuel	2 Samuel	שמואל ב		II Samuhel	2 Samuel	2 Samuel		
1KI	11	22	OT	1 Kings	First Book of Kings	1 Reyes	מלכים א		I Regum	1 Kings	1 Kings		
2KI	12	25	OT	2 Kings	Second Book of Kings	2 Reyes	מלכים ב		II Regum	2 Kings	2 Kings		
1CH	13	29	OT	1 Chronicles	First Book of Chronicles	1 Crónicas	דברי הימים א		I Paralipomenon	1 Chronicles	1 Chronicles		
2CH	14	36	OT	2 Chronicles	Second Book of Chronicles	2 Crónicas	דברי הימים ב		II Paralipomenon	2 Chronicles	2 Chronicles		
EZR	15	10	OT	Ezra	Book of Ezra	Esdras	עזרא		Esdrae	Ezra	Ezra		
NEH	16	13	OT	Nehemiah	Book of Nehemiah	Nehemías	נחמיה		Nehemiae	Nehemiah	Nehemiah		
EST	17	10	OT	Esther	Book of Esther	Ester	אסתר		Esther	Esther	Esther		
JOB	18	42	OT	Job	Book of Job	Job	איוב		Job	Job	Job		
PSA	19	150	OT	Psalms	Book of Psalms	Salmos	תהילים		Psalmi	Psalm	Psalm		
PRO	20	31	OT	Proverbs	Book of Proverbs	Proverbios	משלי		Proverbia	Proverbs	Proverbs		
ECC	21	12	OT	Ecclesiastes	Book of Ecclesiastes	Eclesiastés	קהלת		Ecclesiastes	Ecclesiastes	Ecclesiastes		
SNG	22	8	OT	Song of Solomon	Song of Solomon	Cantares	שיר השירים		Canticum Canticorum	Song of Solomon	Song of Solomon		
ISA	23	66	OT	Isaiah	Book of the Prophet Isaiah	Isaías	ישעה		Isaias	Isaiah	Isaiah		
JER	24	52	OT	Jeremiah	Book of the Prophet Jeremiah	Jeremías	ירמיה		Jeremias	Jeremiah	Jeremiah		
LAM	25	5	OT	Lamentations	Book of the Lamentations	Lamentaciones	איכה		Lamentationes	Lamentations	Lamentations		
