BookID	SeqNum	BookNames_de	BookNames_en	BookNames_es-AR	BookNames_es	BookNames_fi	BookNames_fr	BookNames_gr	BookNames_hr	BookNames_hu	BookNames_it	BookNames_la	BookNames_pl	BookNames_pt	BookNames_ro	BlankColumn
GEN	1	Das Buch Genesis	Genesis	Génesis	Génesis	1. Mooseksen kirja	Genèse	Gênesis	Knjiga Postanka	Teremtés könyve	Genesi	Liber Genesis	Księga Rodzaju	Gênesis	Cartea Genezei	
EXO	2	Das Buch Exodus	Exodus	Exodo	Exodo	2. Mooseksen kirja	Exode	Êxodo	Knjiga Izlaska	Kivonulás könyve	Esodo	Liber Exodus	Księga Wyjścia	Êxodo	Cartea Exodului	
LEV	3	Das Buch Levitikus	Leviticus	Levítico	Levítico	3. Mooseksen kirja	Lévitique	Levítico	Levitski zakonik	Leviták könyve	Levitico	Liber Leviticus	Księga Kapłańska	Levítico	Cartea Leviticului	
NUM	4	Das Buch Numeri	Numbers	Numeros	Numeros	4. Mooseksen kirja	Nombres	Numeros	Knjiga Brojeva	Számok könyve	Numeri	Liber Numeri	Księga Liczb	Numeros	Cartea Numerilor	
DEU	5	Das Buch Deuteronomium	Deuteronomy	Deuteronomio	Deuteronomio	5. Mooseksen kirja	Deutéronome	Deuteronômio	Ponovljeni zakon	Második Törvénykönyv	Deuteronomio	Liber Deuteronomii	Księga Powtórzonego Prawa	Deuteronômio	Cartea Deuteronómului	
JOS	6	Das Buch Josua	Joshua	Josué	Josué	Joosuan kirja	Josué	Josué	Jošua	Józsue könyve	Giosuè	Liber Iosue	Księga Jozuego	Josué	Cartea lui Iósue	
JDG	7	Das Buch der Richter	Judges	Jueces	Jueces	Tuomarien kirja	Juges	Juízes	Knjiga o sucima	Bírák könyve	Giudici	Liber Iudicum	Księga Sedziów	Juízes	Cartea Judecătorilor	
RUT	8	Das Buch Rut	Ruth	Rut	Rut	Ruut	Ruth	Rute	Knjiga o Ruti	Rut könyve	Rut	Liber Ruth	Księga Rut	Rute	Cartea lui Rut	
1SA	9	Das erste Buch Samuel	1 Samuel	1 Samuel	I Samuel	1. Samuelin kirja	1 Samuel	I Samuel	Prva knjiga o Samuelu	Sámuel I. könyve	Samuele 1	Liber I Samuelis	1 Księga Samuela	I Samuel	Cartea întâi a lui Samuél	
2SA	10	Das zweite Buch Samuel	2 Samuel	2 Samuel	II Samuel	2. Samuelin kirja	2 Samuel	II Samuel	Druga knjiga o Samuelu	Sámuel II. könyve	Samuele 2	Liber II Samuelis	2 Księga Samuela	II Samuel	Cartea a doua a lui Samuél	
1KI	11	Das erste Buch der Könige	1 Kings	1 Reyes	I Reyes	1. Kuningasten kirja	1 Rois	I Reis	Prva knjiga o kraljevima	Királyok I. könyve	Re 1	Liber I Regum	1 Księga Królewska	I Reis	Cartea întâi a Regilor	
2KI	12	Das zweite Buch der Könige	2 Kings	2 Reyes	II Reyes	2. Kuningasten kirja	2 Rois	II Reis	Druga knjiga o kraljevima	Királyok II. könyve	Re 2	Liber II Regum	2 Księga Królewska	II Reis	Cartea a doua a Regilor	
1CH	13	Das erste Buch der Chronik	1 Chronicles	1 Crónicas	I Crónicas	1. Aikakirja	1 Chroniques	I Crônicas	Prva knjiga Ljetopisa	Krónikák I. könyve	Cronache 1	Liber I Paralipomenon	1 Księga Kronik	I Crônicas	Cartea întâi a Cronicilor	
2CH	14	Das zweite Buch der Chronik	2 Chronicles	2 Crónicas	II Crónicas	2. Aikakirja	2 Chroniques	II Crônicas	Druga knjiga Ljetopisa	Krónikák II. könyve	Cronache 2	Liber II Paralipomenon	2 Księga Kronik	II Crônicas	Cartea a doua a Cronicilor	
EZR	15	Das Buch Esra	Ezra	Esdras	Esdras	Esra	Esdras	Esdras	Knjiga Ezrina	Ezdrás könyve	Esdra	Liber Esdrae	Księga Ezdrasza	Esdras	Cartea lui Ésdra	
NEH	16	Das Buch Nehemia	Nehemiah	Nehemías	Nehemías	Nehemia	Néhémie	Neemias	Knjiga Nehemijina	Nehemiás könyve	Neemia	Liber Nehemiae	Księga Nehemiasza	Neemias	Cartea lui Nehemía	
TOB	17	Das Buch Tobit	Tobit	Tobías	Tobías	Tobian kirja	Tobie	Tobias	Tobija	Tóbiás könyve	Tobi	Liber Thobis	Księga Tobiasza	Tobias	Cartea lui Tobía	
JDT	18	Das Buch Judit	Judith	Judit	Judit	Juditin kirja	Judith	Judite	Judita	Judit könyve	Giuditta	Liber Iudith	Księga Judyty	Judite	Cartea Iudítei	
EST	19	Das Buch Ester	Esther	Ester	Ester	Ester	Esther	Ester	Estera	Eszter könyve	Ester	Liber Esther	Księga Estery	Ester	Cartea Estérei	
JOB	20	Das Buch Ijob	Job	Job	Job	Job	Job	Jó	Knjiga o Jobu	Jób könyve	Giobbe	Liber Iob	Księga Hioba	Jó	Cartea lui Iob	
PSA	21	Die Psalmen	Psalms	Salmos	Salmos	Psalmit	Psaumes	Salmos	Psalmi	Zsoltárok könyve	Salmi	Liber Psalmorum	Księga Psalmów	Salmos	Cartea Psalmilor	
1MA	22	Das erste Buch der Makkabäer	1 Maccabees	1 Macabeos	I Macabeos	1 Makkabealaisten kirja	1 Maccabées	I Macabeus	Prva knjiga o Makabejcima	Makkabeusok I. könyve	Maccabei 1	Liber I Maccabaeorum	1 Machabejska	I Macabeus	Cartea întâi a Macabéilor	
2MA	23	Das zweite Buch der Makkabäer	2 Maccabees	2 Macabeos	II Macabeos	2 Makkabealaisten kirja	2 Maccabées	II Macabeus	Druga knjiga o Makabejcima	Makkabeusok II. könyve	Maccabei 2	Liber II Maccabaeorum	2 Machabejska	II Macabeus	Cartea a doua a Macabéilor	
PRO	24	Das Buch der Sprichwörter	Proverbs	Proverbios	Proverbios	Sananlaskut	Proverbes	Provérbios	Mudre izreke	Példabeszédek könyve	Proverbi	Liber Proverbiorum	Księga Przysłów	Provérbios	Cartea Proverbelor	
ECC	25	Das Buch Kohelet	Ecclesiastes	Eclesiastés (Qohelet)	Eclesiastés	Saarnaaja	Ecclésiaste (or Qohélet)	Eclesiastes	Propovjednik	Prédikátor könyve	Qoelet (Ecclesiaste)	Liber Ecclesiastes	Księga Koheleta	Eclesiastes	Cartea lui Qohelét (=Ecleziastul)	
SNG	26	Das Hohelied	Song of Solomon	Cantar	Cantar	Korkea Veisuu	Cantique des Cantiques	Cântico dos Cânticos	Pjesma nad pjesmama	Énekek éneke	Cantico dei Cantici	Canticum Canticorum	Pieśń nad pieśniami	Cântico dos Cânticos	Cartea Cântarea Cântărilor	
WIS	27	Das Buch der Weisheit	Wisdom of Solomon	Sabiduría	Sabiduría	Salomon viisaus	Sagesse	Sabedoria	Knjiga Mudrosti	Bölcsesség könyve	Sapienza	Liber Sapientiae	Księga Mądrości	Sabedoria	Cartea Înţelepciunii	
SIR	28	Das Buch Jesus Sirach	Ecclesiasticus	Sirácides (Eclesiástico)	Eclesiástico	Jesus Sirakin kirja	Ecclésiastique	Eclesiástico	Knjiga Sirahova	Sirák fia könyve	Siracide	Liber Ecclesiasticus	Mądrość Syracha	Eclesiástico	Cartea lui Ben Siráh (=Ecleziasticul)	
ISA	29	Das Buch Jesaja	Isaiah	Isaías	Isaías	Jesaja	Isaïe	Isaías	Izaija	Izajás könyve	Isaia	Liber Isaiae	Księga Izajasza	Isaías	Cartea profetului Isaía	
JER	30	Das Buch Jeremia	Jeremiah	Jeremías	Jeremías	Jeremia	Jéremie	Jeremias	Jeremija	Jeremiás könyve	Geremia	Liber Ieremiae	Księga Jeremiasza	Jeremias	Cartea profetului Ieremía	
LAM	31	Die Klagelieder	Lamentations	Lamentaciones	Lamentaciones	Valitusvirret	Lamentations	Lamentações	Tužaljke	Siralmak könyve	Lamentazioni	Lamentationes	Lamentacje Jeremiasza	Lamentações	Cartea Lamentaţiunilor (Plângeri)	
BAR	32	Das Buch Baruch	Baruch	Baruc	Baruc	Propheta Baruk	Baruch	Baruc	Baruh	Báruk könyve	Baruc	Liber Baruch	Księga Barucha	Baruc	Cartea profetului Baruh	
EZK	33	Das Buch Ezechiel	Ezekiel	Ezequiel	Ezequiel	Hesekiel	Ezéchiel	Ezequiel	Ezekiel	Ezekiel könyve	Ezechiele	Prophetia Ezechielis	Księga Ezechiela	Ezequiel	Cartea profetului Ezechiél	
DAN	34	Das Buch Daniel	Daniel	Daniel	Daniel	Daniel	Daniel	Daniel	Daniel	Dániel könyve	Daniele	Prophetia Danielis	Księga Daniela	Daniel	Cartea profetului Daniél	
HOS	35	Das Buch Hosea	Hosea	Oseas	Oseas	Hoosea	Osée	Oséias	Hošea	Ozeás könyve	Osea	Prophetia Osee	Księga Ozeasza	Oséias	Cartea profetului Oséa	
JOL	36	Das Buch Joël	Joel	Joel	Joel	Jooel	Joël	Joel	Joel	Joel könyve	Gioele	Prophetia Ioel	Księga Joela	Joel	Cartea profetului Ioél	
AMO	37	Das Buch Amos	Amos	Amós	Amós	Aamos	Amos	Amós	Amos	Ámosz könyve	Amos	Prophetia Amos	Księga Amosa	Amós	Cartea profetului Ámos	
OBA	38	Das Buch Obadja	Obadiah	Abdías	Abdías	Obadja	Abdias	Abdias	Obadija	Abdiás könyve	Abdia	Prophetia Abdiae	Księga Abdiasza	Abdias	Cartea profetului Abdía	
JON	39	Das Buch Jona	Jonah	Jonás	Jonás	Joona	Jonas	Jonas	Jona	Jónás könyve	Giona	Prophetia Ionae	Księga Jonasza	Jonas	Cartea profetului Ióna	
MIC	40	Das Buch Micha	Micah	Miqueas	Miqueas	Miika	Michée	Miquéias	Mihej	Mikeás könyve	Michea	Prophetia Michaeae	Księga Micheasza	Miquéias	Cartea profetului Mihéia	
NAM	41	Das Buch Nahum	Nahum	Nahun	Nahun	Naahum	Nahum	Naum	Nahum	Náhum könyve	Nahum	Prophetia Nahum	Księga Nahuma	Naum	Cartea profetului Nahum	
HAB	42	Das Buch Habakuk	Habakkuk	Habacuc	Habacuc	Habakuk	Habaquq	Habacuc	Habakuk	Habakuk könyve	Abacuc	Prophetia Habacuc	Księga Habakuka	Habacuc	Cartea profetului Habacuc	
ZEP	43	Das Buch Zefanja	Zephaniah	Sofonías	Sofonías	Sefanja	Sophonie	Sofonias	Sefanija	Szofoniás könyve	Sofonia	Prophetia Sophoniae	Księga Sofoniasza	Sofonias	Cartea profetului Sofonía	
HAG	44	Das Buch Haggai	Haggai	Ageo	Ageo	Haggai	Aggée	Ageu	Hagaj	Aggeus könyve	Aggeo	Prophetia Aggaei	Księga Aggeusza	Ageu	Cartea profetului Aggéu	
ZEC	45	Das Buch Sacharja	Zechariah	Zacarías	Zacarías	Sakarja	Zacharie	Zacarias	Zaharija	Zakariás könyve	Zaccaria	Prophetia Zachariae	Księga Zachariasza	Zacarias	Cartea profetului Zaharía	
MAL	46	Das Buch Maleachi	Malachi	Malaquías	Malaquías	Malakia	Malachie	Malaquias	Malahija	Malakiás könyve	Malachia	Prophetia Malachiae	Księga Malachiasza	Malaquias	Cartea profetului Malahía	
MAT	47	Das Evangelium nach Matthäus	Matthew	Evangelio segun San Mateo	Mateo	Matteuksen evankeliumi	Matthieu	São Mateus	Evanðelje po Mateju	Máté evangéliuma	Vangelo secondo Matteo	Evangelium secundum Matthaeum	Ewangelia Mateusza	São Mateus	Evanghelia după sf. Matei	
MRK	48	Das Evangelium nach Markus	Mark	Evangelio segun San Marcos	Marcos	Markuksen evankeliumi	Marc	São Marcos	Evanðelje po Marku	Márk evangéliuma	Vangelo secondo Marco	Evangelium secundum Marcum	Ewangelia Marka	São Marcos	Evanghelia după sf. Marcu	
