HymnsID	ValidationDropDownList	Hymnal	HymnNumber	FirstLine	Tune	Metre	Occasion	PD	EHNote	EHNote2
	string	HymnalCode	HymnNumber	string						
C1.Hymns	C1 A child is born for us today	CH:Celebration Hymnal for Everyone	1	A child is born for us today						
C10.Hymns	C10 Across the years there echoes	CH:Celebration Hymnal for Everyone	10	Across the years there echoes						
C100.Hymns	C100 Bring, all ye dear-bought nations, bring	CH:Celebration Hymnal for Everyone	100	Bring, all ye dear-bought nations, bring				*		
C1000.Hymns	C1000 Blessed be the God and Father (EveningPrayer)	CH:Celebration Hymnal for Everyone	1000	Blessed be the God and Father (EveningPrayer)						
C1001.Hymns	C1001 Give thanks to the Father (EveningPrayer)	CH:Celebration Hymnal for Everyone	1001	Give thanks to the Father (EveningPrayer)						
C1002.Hymns	C1002 Before the heaven and earth	CH:Celebration Hymnal for Everyone	1002	Before the heaven and earth						
C1003.Hymns	C1003 Great indeed is the mystery (EveningPrayer/Epiphany/Transfiguration:O praise the Lord O you nations)	CH:Celebration Hymnal for Everyone	1003	Great indeed is the mystery (EveningPrayer/Epiphany/Transfiguration:O praise the Lord O you nations)						
C1004.Hymns	C1004 Worthy are you our Lord and God (Evening Prayer/Eastertide)	CH:Celebration Hymnal for Everyone	1004	Worthy are you our Lord and God (Evening Prayer/Eastertide)						
C1005.Hymns	C1005 We give you thanks to you Lord (Evening Prayer/Eastertide)	CH:Celebration Hymnal for Everyone	1005	We give you thanks to you Lord (Evening Prayer/Eastertide)						
C1006.Hymns	C1006 Great and wonderful are your deeds (MorningPrayer/EveningPrayer/Eastertide)	CH:Celebration Hymnal for Everyone	1006	Great and wonderful are your deeds (MorningPrayer/EveningPrayer/Eastertide)						
C1007.Hymns	C1007 We worship you Lord (GoodFriday:Antiphon)	CH:Celebration Hymnal for Everyone	1007	We worship you Lord (GoodFriday:Antiphon)						
C1008.Hymns	C1008 Sion lift your voice and sing (CorpusChristi:Lauda Sion)	CH:Celebration Hymnal for Everyone	1008	Sion lift your voice and sing (CorpusChristi:Lauda Sion)						
C1009.Hymns	C1009 Processional Litany of the Saints	CH:Celebration Hymnal for Everyone	1009	Processional Litany of the Saints						
C101.Hymns	C101 Bring flowers of the rarest	CH:Celebration Hymnal for Everyone	101	Bring flowers of the rarest				*		
C1010.Hymns	C1010 Blessed be Jesus (Make us a sign)	CH:Celebration Hymnal for Everyone	1010	Blessed be Jesus (Make us a sign)						
C1011.Hymns	C1011 Gloria! Gloria! Gloria! (Salazar)	CH:Celebration Hymnal for Everyone	1011	Gloria! Gloria! Gloria! (Salazar)						
C1012.Hymns	C1012 Gloria, gloria, in excelsis Deo (Anderson)	CH:Celebration Hymnal for Everyone	1012	Gloria, gloria, in excelsis Deo (Anderson)						
