Code	Name	CodeAlt1	CodeAlt2	Notes
ab	Abkhazian	abk	abk	Individual Living Аҧсуа; Apsua; აფსუა Abkhaz
aa	Afar	aar	aar	Individual Living Qafar af
af	Afrikaans	afr	afr	Individual Living Afrikaans
ak	Akan	aka	aka	+ [112]2 [113]Macrolanguage Living Ákán Twi is tw/twi, [115]Fanti is fat
sq	Albanian	sqi	alb	sqi + [118]4 Macrolanguage Living Shqip called "Albanian Phylozone" in 639-6
am	Amharic	amh	amh	Individual Living አማርኛ (Amarəñña)
ar	Arabic	ara	ara	+ [123]28 Macrolanguage Living اَلْعَرَبِيَّةُ (al-ʿarabiyyah) Standard Arabic is arb
an	Aragonese	arg	arg	Individual Living Aragonés
hy	Armenian	hye	arm	hye Individual Living Հայերեն (Hayeren) ISO 639-3 code hye is for [129]Eastern Armenian, hyw is for Western Armenian, and xcl is for [131]Classical Armenian
as	Assamese	asm	asm	Individual Living অসমীয়া (Ôxômiya) Asamiya
av	Avaric	ava	ava	Individual Living Авар мацӏ; اوار ماض (Avar maz) Avar
ae	Avestan	ave	ave	Individual Historical Upastawakaēna
ay	Aymara	aym	aym	+ [140]2 Macrolanguage Living Aymara Aymaran
az	Azerbaijani	aze	aze	+ [143]2 Macrolanguage Living Azərbaycan dili; آذربایجان دیلی; Азәрбајҹан дили Azeri
bm	Bambara	bam	bam	Individual Living بَمَنَنكَن ;ߓߡߊߣߊ߲ߞߊ߲ (Bamanankan) Bamana; Bamanankan
ba	Bashkir	bak	bak	Individual Living Башҡорт теле; Başqort tele Bashkort
eu	Basque	eus	baq	eus Individual Living Euskara/Euskera
be	Belarusian	bel	bel	Individual Living Беларуская мова (Biełaruskaja mova)
bn	Bengali	ben	ben	Individual Living বাংলা (Bāŋlā) Bangla
bi	Bislama	bis	bis	Individual Living Bislama Language formed from English and [156]Vanuatuan languages, with some French influence.
bs	Bosnian	bos	bos	Individual Living Босански (Bosanski) Bosniak Previously member language of [159]Serbo-Croatian with code sh deprecated in 2000
br	Breton	bre	bre	Individual Living Brezhoneg
bg	Bulgarian	bul	bul	Individual Living Български (Bulgarski)
my	Burmese	mya	bur	mya Individual Living မြန်မာစာ (Mrãmācā) Myanmar
ca	Catalan, Valencian	cat	cat	Individual Living Català; Valencià
ch	Chamorro	cha	cha	Individual Living Finu' Chamoru
ce	Chechen	che	che	Individual Living Нохчийн мотт; (Noxçiyn mott) Chechnyan; Chechnian
ny	Chichewa, Chewa, Nyanja	nya	nya	Individual Living Chichewa; Chinyanja
zh	Chinese	zho	chi	zho + [176]19 Macrolanguage Living 中文 (Zhōngwén) 汉语; 漢語 (Hànyǔ)
cu	Church Slavonic, Old Church Slavonic	chu	chu	Individual Historical Славе́нскїй ѧ҆зы́къ In use by the Eastern Orthodox Church
cv	Chuvash	chv	chv	Individual Living Чӑвашла (Çăvaşla)
kw	Cornish	cor	cor	Individual Living Kernowek
co	Corsican	cos	cos	Individual Living Corsu
cr	Cree	cre	cre	+ [189]6 Macrolanguage Living ᓀᐦᐃᔭᐁᐧᐃᐧᐣ (Nehiyawewin)
hr	Croatian	hrv	hrv	Individual Living Hrvatski Previously member language of [192]Serbo-Croatian with code sh deprecated in 2000
cs	Czech	ces	cze	ces Individual Living Čeština Czechian
da	Danish	dan	dan	Individual Living Dansk
dv	Divehi, Dhivehi, Maldivian	div	div	Individual Living ދިވެހި (Dhivehi)
nl	Dutch, [200]Flemish	nld	dut	nld Individual Living Nederlands Flemish is not to be confused with the closely related
dz	Dzongkha	dzo	dzo	Individual Living རྫོང་ཁ་ (Dzongkha) Bhutanese
en	English	eng	eng	Individual Living English
eo	Esperanto	epo	epo	Individual Constructed Esperanto
et	Estonian	est	est	+ [211]2 Macrolanguage Living Eesti keel
ee	Ewe	ewe	ewe	Individual Living Èʋegbe
fo	Faroese	fao	fao	Individual Living Føroyskt Faeroese
fj	Fijian	fij	fij	Individual Living Na Vosa Vakaviti
fi	Finnish	fin	fin	Individual Living Suomi
fr	French	fra	fre	fra Individual Living Français
fy	Western Frisian	fry	fry	Individual Living Frysk West Frisian; Frisian; Fries
ff	Fulah	ful	ful	+ [226]9 Macrolanguage Living 𞤊𞤵𞤤𞤬𞤵𞤤𞤣𞤫 ;ࢻُلْࢻُلْدٜ; Fulfulde 𞤆𞤵𞤤𞤢𞥄𞤪 ;ݒُلَارْ; Pulaar Fula; Fulani
gd	Gaelic, Scottish Gaelic	gla	gla	Individual Living Gàidhlig Scots Gaelic
gl	Galician	glg	glg	Individual Living Galego Galego
lg	Ganda	lug	lug	Individual Living Luganda Luganda
ka	Georgian	kat	geo	kat Individual Living ქართული (Kharthuli)
de	German	deu	ger	deu Individual Living Deutsch
el	Greek, Modern (1453–)	ell	gre	ell Individual Living Νέα Ελληνικά; (Néa Ellêniká) for [239]Ancient Greek, use the [240]ISO 639-3 code grc
kl	Kalaallisut, Greenlandic	kal	kal	Individual Living Kalaallisut
gn	Guarani	grn	grn	+ [245]5 Macrolanguage Living Avañe'ẽ
gu	Gujarati	guj	guj	Individual Living ગુજરાતી (Gujarātī)
ht	Haitian, Haitian Creole	hat	hat	Individual Living Kreyòl ayisyen
ha	Hausa	hau	hau	Individual Living هَرْشٜن هَوْس (halshen Hausa) Hausan
he	Hebrew	heb	heb	Individual Living עברית (Ivrit) Modern Hebrew. Code changed in 1989 from original ISO 639:1988, iw.^[254][3]
