Seq	Date	PropersID	Rank	Note	FirstReadingReference	ResponsorialPsalmReference	SecondReadingReference	GospelAlleluiaReference	GospelReadingReference
1	01/01	Mary, Mother of God	Solemnity	[see the Proper of Seasons, no. 18]					
2	01/02	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 4:1-7,11-13	Ps 23:1b-3a,4,5,6		Matt 23:9b,10b	Matt 23:8-12
3	01/03	3 Jan:Most Holy Name of Jesus		Proper (cf. Votive Mass of the Holy Name)	Phil 2:1-11	Ps 8:4-5,6-7,8-9		Matt 1:21	Luke 2:21-24
4	01/04	St Elizabeth Ann Seton, Religious		Common of Holy Men and Women: For Religious					
5	01/05	St John Neumann, Bishop		Common of Pastors					
6	01/06	St André Bessette, Religious		Common of Holy Men and Women: For Religious					
7	01/07	St Raymond of Peñafort, Priest		Common of Pastors	2 Cor 5:14-20	Ps 103:1bc-2,3-4,8-9,13-14,17-18a		Luke 21:36	Luke 12:35-40
8	01/13	St Hilary, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	1 John 2:18-25	Ps 110:1,2,3,4		Matt 5:16	Matt 5:13-19
9	01/17	St Anthony, Abbot	Memorial	Common of Holy Men and Women: For Religious	Eph 6:10-13,18	Ps 16:1-2a+5,7-8,11		John 8:31b-32	Matt 19:16-26
10	01/20	St Fabian, Pope, Martyr		Common of Martyrs, or Common of Pastors: For a Pope	1 Peter 5:1-4	Ps 40:2+4ab,7-8a,8b-9,10		John 10:14	John 21:15-17
11	01/20	St Sebastian, Martyr		Common of Martyrs	1 Peter 3:14-17	Ps 34:2-3,4-5,6-7,8-9		James 1:12	Matt 10:28-33
12	01/21	St Agnes, Virgin, Martyr	Memorial	Common of Martyrs, or Common of Virgins	1 Cor 1:26-31	Ps 23:1b-3a,4,5,6		John 15:9b,5b	Matt 13:44-46
13	01/22	St Vincent, Deacon, Martyr		Common of Martyrs	2 Cor 4:7-15	Ps 34:2-3,4-5,6-7,8-9		Matt 5:10	Matt 10:17-22
14	01/23	St Marianne Cope, Virgin		Common of Virgins, or Common of Holy Men and Women: For Those Who Work for the Underprivileged					
15	01/24	St Francis de Sales, Bishop, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 3:8-12	Ps 37:3-4,5-6,30-31		John 13:34	John 15:9-17
16	01/25	Conversion of St Paul, Apostle	Feast	Proper	Acts 22:3-16|Acts 9:1-22	Ps 117:1bc,2		John 15:16	Mark 16:15-18
17	01/26	Ss Timothy & Titus, Bishops	Memorial	Common of Pastors, except Proper 1st Reading:	2 Tim 1:1-8|Titus 1:1-5	Ps 96:1-2a,2b-3,7-8a,10		Luke 4:18	Luke 10:1-9
18	01/27	St Angela Merici, Virgin		Common of Virgins, or Common of Holy Men and Women: For Teachers	1 Peter 4:7b-11	Ps 148:1bc-2,11-13a,13c-14		Matt 11:25	Mark 9:34b-37
19	01/28	St Thomas Aquinas, Priest, Doctor	Memorial	Common of Doctors of the Church, or Common of Pastors	Wisdom 7:7-10,15-16	Ps 119:9,10,11,12,13,14		Matt 23:9b,10b	Matt 23:8-12
20	01/31	St John Bosco, Priest	Memorial	Common of Pastors, or Common of Holy Men and Women: For Teachers	Phil 4:4-9	Ps 103:1bc-2,3-4,8-9,13-14,17-18		Matt 23:11,12b	Matt 18:1-5
21	02/02	Presentation of our Lord	Feast	Proper	Mal 3:1-4	Ps 24:7,8,9,10	Heb 2:14-18	Luke 2:32	Luke 2:22-40|2:22-32
22	02/03	St Blaise, Bishop, Martyr		Common of Martyrs, or Common of Pastors	Rom 5:1-5	Ps 117:1bc,2		Matt 28:19a,20b	Mark 16:15-20
23	02/03	St Ansgar, Bishop		Common of Pastors: For Missionaries	Isa 52:7-10	Ps 96:1-2a,2b-3,7-8,10		Mark 1:17	Mark 1:14-20
24	02/05	St Agatha, Virgin, Martyr	Memorial	Common of Martyrs, or Common of Virgins	1 Cor 1:26-31	Ps 31:3cd-4,6+8ab,16bc+17		1 Peter 4:14	Luke 9:23-26
25	02/06	St Paul Miki, Priest & Martyr, & Companions, Martyrs	Memorial	Common of Martyrs	Gal 2:19-20	Ps 126:1bc-2ab,2cd-3,4-5,6		Matt 28:19a,20b	Matt 28:16-20
26	02/08	St Jerome Emiliani, Priest		Common of Holy Men and Women: For Teachers	Tob 12:6-13	Ps 34:2-3,4-5,6-7,8-9,10-11		Matt 5:3	Mark 10:17-30|10:17-27
27	02/08	St Josephine Bakhita, Virgin		Common of Virgins	1 Cor 7:25-35	Ps 45:11-12,14-15,16-17			Matt 25:1-13
28	02/10	St Scholastica, Virgin	Memorial	Common of Virgins, or Common of Holy Men and Women: For Religious	Songs 8:6-7	Ps 148:1bc-2,11-13a,13c-14		John 14:23	Luke 10:38-42
29	02/11	Our Lady of Lourdes		Common of the Blessed Virgin Mary	Isa 66:10-14c	Judith 13:18bcde,19		cf. Luke 1:45	John 2:1-11
30	02/14	Ss Cyril, Monk, & Methodius, Bishop	Memorial	Common of Pastors: For Missionaries, or Common of Holy Men and Women	Acts 13:46-49	Ps 117:1bc,2		Luke 4:18	Luke 10:1-9
31	02/17	The Seven Founders of the Order of Servites		Common of Holy Men and Women: For Religious	Rom 8:26-30	Ps 34:2-3,4-5,6-7,8-9,10-11		Matt 5:3	Matt 19:27-29
32	02/21	St Peter Damian, Bishop, Doctor		Common of Doctors of the Church, or Common of Pastors, or Common of Holy Men and Women: For Religious	2 Tim 4:1-5	Ps 16:1-2+5,7-8,11		John 15:9b,5b	John 15:1-8
33	02/22	Chair of St Peter, Apostle	Feast	Proper	1 Pet 5:1-4	Ps 23:1-3a,4,5,6		Matt 16:18	Matt 16:13-19
34	02/23	St Polycarp, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors	Rev 2:8-11	Ps 31:3cd-4,6+8ab,16bc+17			John 15:18-21
35	02/27	St Gregory of Narek, Abbot, Doctor		Common of Doctors of the Church, or Common of Holy Men and Women: For Religious	Wis 7:7-10,15,16	Ps 37:3-4,5-6,30-31		John 6:63c+68c	Matt 7:21-29
36	03/03	St Katharine Drexel, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious					
37	03/04	St Casimir		Common of Holy Men and Women	Phil 3:8-14	Ps 15:2-3ab,3cd-4ab,5		John 13:34	John 15:9-17
38	03/07	Ss Perpetua & Felicity, Martyrs	Memorial	Common of Martyrs	Rom 8:31b-39	Ps 124:2-3,4-5,7-8		Matt 5:10	Matt 10:34-39
39	03/08	St John of God, Religious		Common of Holy Men and Women: For Religious, or For Those Who Work for the Underprivileged	1 John 3:14-18	Ps 112:1bc-2,3-4,5-7a,7b-8,9		John 13:34	Matt 25:31-40
40	03/09	St Frances of Rome, Religious		Common of Holy Men and Women	Prov 31:10-13,19-20,30-31	Ps 34:2-3,4-5,6-7,8-9,10-11		John 13:34	Matt 22:34-40
41	03/17	St Patrick, Bishop		Common of Pastors: For Missionaries	1 Peter 4:7b-11	Ps 96:1-2a,2b-3,7-8b,10		Mark 1:17	Luke 5:1-11
42	03/18	St Cyril of Jerusalem, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	1 John 5:1-5	Ps 19:8,9,10,11		John 15:9b,5b	John 15:1-8
43	03/19	St Joseph, Husband of our Lady	Solemnity	Proper	2 Sam 7:4-5a,12-14a,16	Ps 89:2-3,4-5,27+29	Rom 4:13,16-18,22	Ps 84:5	Matt 1:16,18-21,24a|Luke 2:41-51a
44	03/23	St Turibius of Mongrovejo, Bishop		Common of Pastors	2 Tim 1:13-14;2:1-3	Ps 96:1-2a,2b-3,7-8c,10		John 10:14	Matt 9:35-38
45	03/25	Annunciation of our Lord	Solemnity	Proper	Isa 7:10-14;8:10	Ps 40:7-8a,8b-9,10,11	Heb 10:4-10	John 1:14ab	Luke 1:26-38
