Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2029-01-01	Mon	NOE	Mary, Mother of God		Mary, Mother of God	
2029-01-02	Tue	NOE	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors		Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors	
2029-01-03	Wed	NOE	3 Jan:Most Holy Name of Jesus		3 Jan:Most Holy Name of Jesus	
2029-01-04	Thu	NOE	4 Jan		4 Jan	
2029-01-05	Fri	NOE	5 Jan		5 Jan	
2029-01-06	Sat	NOE	6 Jan		6 Jan	
2029-01-07	Sun	NOE	EPIPHANY OF THE LORD		EPIPHANY OF THE LORD	
2029-01-08	Mon	NOE	BAPTISM OF THE LORD		BAPTISM OF THE LORD	
2029-01-09	Tue	NOE	Ord Time I:Tue		Ord Time I:Tue	
2029-01-10	Wed	NOE	Ord Time I:Wed		Ord Time I:Wed	
2029-01-11	Thu	NOE	Ord Time I:Thu		Ord Time I:Thu	
2029-01-12	Fri	NOE	Ord Time I:Fri		Ord Time I:Fri	St Aelred of Rievaulx, Abbot	
2029-01-13	Sat	NOE	Ord Time I:Sat		Ord Time I:Sat	St Hilary of Poitiers, Bishop, Doctor	Saturday memorial of our Lady	
2029-01-14	Sun	NOE	ORDINARY TIME II		ORDINARY TIME II	
2029-01-15	Mon	NOE	Ord Time II:Mon		Ord Time II:Mon	
2029-01-16	Tue	NOE	Ord Time II:Tue		Ord Time II:Tue	
2029-01-17	Wed	NOE	St Anthony the Great, Abbot		St Anthony the Great, Abbot	
2029-01-18	Thu	NOE	Ord Time II:Thu		Ord Time II:Thu	
2029-01-19	Fri	NOE	Ord Time II:Fri		Ord Time II:Fri	St Wulstan, Bishop, Religious	
2029-01-20	Sat	NOE	Ord Time II:Sat		Ord Time II:Sat	St Fabian, Pope, Martyr	St Sebastian, Martyr	Saturday memorial of our Lady	
2029-01-21	Sun	NOE	ORDINARY TIME III		ORDINARY TIME III	
2029-01-22	Mon	NOE	Ord Time III:Mon		Ord Time III:Mon	St Vincent, Deacon, Martyr	
2029-01-23	Tue	NOE	Ord Time III:Tue		Ord Time III:Tue	
2029-01-24	Wed	NOE	St Francis de Sales, Bishop, Doctor		St Francis de Sales, Bishop, Doctor	
2029-01-25	Thu	NOE	Conversion of St Paul, Apostle		Conversion of St Paul, Apostle	
2029-01-26	Fri	NOE	Ss Timothy & Titus, Bishops		Ss Timothy & Titus, Bishops	
2029-01-27	Sat	NOE	Ord Time III:Sat		Ord Time III:Sat	St Angela Merici, Virgin	Saturday memorial of our Lady	
2029-01-28	Sun	NOE	ORDINARY TIME IV		ORDINARY TIME IV	
2029-01-29	Mon	NOE	Ord Time IV:Mon		Ord Time IV:Mon	
2029-01-30	Tue	NOE	Ord Time IV:Tue		Ord Time IV:Tue	
2029-01-31	Wed	NOE	St John Bosco, Youth Patron, Priest		St John Bosco, Youth Patron, Priest	
2029-02-01	Thu	NOE	Ord Time IV:Thu		Ord Time IV:Thu	
2029-02-02	Fri	NOE	Presentation of the Lord		Presentation of the Lord	
2029-02-03	Sat	NOE	Ord Time IV:Sat		Ord Time IV:Sat	St Ansgar, Bishop	St Blaise, Bishop, Martyr	Saturday memorial of our Lady	
