1st	I	1
2nd	II	2
3rd	III	3
4th	IV	4
5th	V	5
6th	VI	6
7th	VII	7
8th	VIII	8
9th	IX	9
10th	X	10
11th	XI	11
12th	XII	12
13th	XIII	13
14th	XIV	14
15th	XV	15
16th	XVI	16
17th	XVII	17
18th	XVIII	18
19th	XIX	19
20th	XX	20
21st	XXI	21
22nd	XXII	22
23rd	XXIII	23
24th	XXIV	24
25th	XXV	25
26th	XXVI	26
27th	XXVII	27
28th	XXVIII	28
29th	XXIX	29
30th	XXX	30
31st	XXXI	31
32nd	XXXII	32
33rd	XXXIII	33
34th	XXXIV	34
First	I	35
Second	II	36
Third	III	37
Fourth	IV	38
Fifth	V	39
Sixth	VI	40
Seventh	VII	41
Eighth	VIII	42
Ninth	IX	43
Tenth	X	44
Eleventh	XI	45
Twelfth	XII	46
Thirteenth	XIII	47
Fourteenth	XIV	48
Fifteenth	XV	49
Sixteenth	XVI	50
Seventeenth	XVII	51
Eighteenth	XVIII	52
Nineteenth	XIX	53
Twentieth	XX	54
Twenty-first	XXI	55
Twenty-second	XXII	56
Twenty-third	XXIII	57
Twenty-fourth	XXIV	58
Twenty-fifth	XXV	59
Twenty-sixth	XXVI	60
Twenty-seventh	XXVII	61
Twenty-eighth	XXVIII	62
Twenty-ninth	XXIX	63
Thirtieth	XXX	64
Thirty-first	XXXI	65
Thirty-second	XXXII	66
Thirty-third	XXXIII	67
Thirty-fourth	XXXIV	68
One	I	69
Two	II	70
Three	III	71
Four	IV	72
Five	V	73
Six	VI	74
Seven	VII	75
Eight	VIII	76
Nine	IX	77
Ten	X	78
Eleven	XI	79
Twelve	XII	80
Thirteen	XIII	81
Fourteen	XIV	82
Fifteen	XV	83
Sixteen	XVI	84
Seventeen	XVII	85
Eighteen	XVIII	86
Nineteen	XIX	87
Twenty	XX	88
Twenty one	XXI	89
Twenty two	XXII	90
Twenty three	XXIII	91
Twenty four	XXIV	92
Twenty five	XXV	93
Twenty six	XXVI	94
Twenty seven	XXVII	95
Twenty eight	XXVIII	96
Twenty nine	XXIX	97
Thirty	XXX	98
Thirty one	XXXI	99
Thirty two	XXXII	100
Thirty three	XXXIII	101
Thirty four	XXXIV	102
