TranslationID	TranslationName	NoTabEndingColumn
aai	Minaifia NT	Bogus
aak	Minaifia NT	Bogus
aau	Abau NT	Bogus
aaz	Amarasi Bible	Bogus
abc	Ayta Ambala NT Portions	Bogus
abt-maprik	Ambulas Maprik NT	Bogus
abt-wosera	Ambulas Wosera NT	Bogus
abx	Inabaknon NT	Bogus
aby	Aneme Wake NT	Bogus
acfNT	Saint Lucian Creole French NT	Bogus
acr-acc	New Testament in Achi	Bogus
acrNNT	Achi Rabinal NT (new orthography)	Bogus
acrTNT	Achi Rabinal NT (traditional orthography)	Bogus
acuNT	Achuar-shiwiar Bible	Bogus
adt	Adnyamathanha Christmas Story	Bogus
adz	Adzera Bible	Bogus
aer	Eastern Arrente Bible	Bogus
aey	Amele Genesis	Bogus
agd	Agarabi NT	Bogus
agg	Angor NT	Bogus
agm	Angaataha NT	Bogus
agn	Agutaynen NT	Bogus
agr	Aguaruna Bible	Bogus
agt	Central Cagayan Agta	Bogus
aguBl	Aguacateco Bible	Bogus
ahr	Ahirani Matthew and Mark	Bogus
aia	Arosi New Testament	Bogus
aii	Assyrian Neo-Aramaic NT with Psalms	Bogus
akeNT	Akawaio NT	Bogus
alh	Alawa Song Book	Bogus
alpNT	Alune NT	Bogus
alqALGNT	Algonquin NT	Bogus
alw	Alaba-K’abeena NT	Bogus
aly	Alyawarr Bible	Bogus
ameNT	Yanesha' NT	NoTabEndingColumn
amf	Banna NT	Bogus
amh	Amharic NT	Bogus
amk	Ambai NT	Bogus
amm	Ama NT	Bogus
amn-amanab	Amanab NT	Bogus
amn-n	Amanab Naineri NT	Bogus
amo	Amo NT	Bogus
amp	Alamblak NT	Bogus
amrNT	New Testament in Amarakaeri (PE:amr:Amarakaeri)	Bogus
amuNT	New Testament in Amuzgo, Guerrero (MX:amu:Amuzgo, Guerrero)	Bogus
amx	Anmatyerr Bible	Bogus
anh	Mark in Nend	Bogus
anvNT	New Testament in Denya (CM:anv:Denya)	Bogus
aoi	Anindilyakwa Bible	Bogus
aoj	Mufian NT	Bogus
aoj-filifita	Filifita NT	Bogus
aom	Omie NT	Bogus
aon	Arapesh NT	Bogus
apb	Sa'a New Testament	Bogus
apeB	Bukiyip NT	Bogus
apec	Coastal Arapesh NT	Bogus
apnNT	Apinayé NT	Bogus
