 PropersID	Seq	MM-DD	Collect of the Day
ADVENT I	1		ALMIGHTY God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility; that in the last day, when he shall come again in his glorious Majesty, to judge both the quick and the dead; we may rise to the life immortal; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Advent Ember Wednesday	2		GRANT, we beseech thee, almighty God: that the coming festival of our redemption may obtain for us the comfort of thy succour in this life, and in the life to come the reward of eternal felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Advent Ember Friday	3		STIR UP, we beseech thee, O Lord, thy power, and come among us: that we, who put our trust and confidence in thy mercy, may speedily be delivered from all our adversities; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Advent Ember Saturday	4		O GOD, who seest us to be sore afflicted by reason of the frailty of our mortal nature: grant, we beseech thee, that we may be relieved by thy gracious visitation; who livest and reignest with God the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
ADVENT II	5		BLESSED Lord, who hast caused all holy Scriptures to be written for our learning: grant that we may in such wise hear them, read, mark, learn, and inwardly digest them, that by patience and comfort of thy holy Word, we may embrace and ever hold fast the blessed hope of everlasting life, which thou hast given us in our Saviour Jesus Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
ADVENT III	6		O LORD Jesus Christ, who at thy first coming didst send thy messenger to prepare thy way before thee: grant that the ministers and stewards of thy mysteries may likewise so prepare and make ready thy way, by turning the hearts of the disobedient to the wisdom of the just; that at thy second coming to judge the world we may be found an acceptable people in thy sight; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
ADVENT IV	7		RAISE UP, we beseech thee, O Lord, thy power, and come among us, and with great might succour us: that whereas, through our sins and wickedness, we are sorely hindered in running the race that is set before us, thy bountiful grace and mercy may speedily help and deliver us; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
17 Dec:O Sapientia	8		O WISDOM, which camest out of the mouth of the Most High, and reachest from one end to another, mightily and sweetly ordering all things: come and teach us the way of prudence.  O GOD, the Creator and Redeemer of all mankind, who didst will that thy Word should take flesh in an ever-virgin womb: mercifully hear our prayers; that thine Only Begotten Son, who hath taken unto himself our humanity, may graciously grant us a share in his divinity; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
18 Dec:O Adonai	9		O ADONAI, and Leader of the house of Israel, who appearedst in the bush to Moses in a flame of fire, and gavest him the Law in Sinai: come and deliver us with an outstretched arm.  GRANT, we beseech thee, almighty God: that we, who through our ancient bondage are held beneath the yoke of sin; may by the new birth of thine Only Begotten Son in the flesh obtain deliverance; through the same Jesus Christ thy Son our Lord,  who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
19 Dec:O Radix Jesse	10		O ROOT OF JESSE, which standest for an ensign of the peoples, at whom kings shall shut their mouths, to whom the Gentiles shall seek: come and deliver us, and tarry not.  O GOD, who through the child-bearing of the holy Virgin hast graciously revealed the brightness of thy glory unto all the world: grant, we beseech thee; that we may worship with purity of faith the mystery of so wondrous an Incarnation, and always celebrate it with due reverence; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
20 Dec:O Clavis David	11		O KEY OF DAVID, and Sceptre of the house of Israel; that openest, and no man shutteth, and shuttest, and no man openeth: come and bring the prisoner out of the prison-house, and him that sitteth in darkness and the shadow of death.  O GOD, eternal majesty, whose ineffable Word the immaculate Virgin received by the message of an Angel, and so became the dwelling place of divinity filled with the light of the Holy Spirit: grant, we beseech thee; that by her example we may in humility hold fast to thy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
21 Dec:O Oriens	12		O DAY-SPRING, Brightness of the Light everlasting and Sun of righteousness: come and enlighten him that sitteth in darkness and in the shadow of death.  WE BESEECH thee, O Lord, to hear the prayers of thy people: that those who rejoice at the advent of thine Only Begotten Son in our flesh; may, when at last he cometh in glory, obtain the reward of eternal life; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
22 Dec:O Rex Gentium	13		O GOD, who seeing man sunk in death didst will to redeem him by the advent of thine Only Begotten Son: grant, we beseech thee; that those who confess with humble devotion his Incarnation may also merit participation in him as the Redeemer; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
23 Dec:O Emmanuel	14		O EMMANUEL, our King and Lawgiver, the Desire of all nations and their  Salvation: come and save us, O Lord our God.  ALMIGHTY and everlasting God: as the Nativity of thy Son according to the flesh draweth nigh; we beseech thee; that to us thine unworthy servants thy Word may grant mercy, for he vouchsafed to be made flesh of the Virgin Mary and dwell among us; even Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
24 Dec	15		RAISE UP, we beseech thee, O Lord, thy power, and come among us, and with great might succour us: that whereas, through our sins and wickedness, we are sorely hindered in running the race that is set before us, thy bountiful grace and mercy may speedily help and deliver us; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
NATIVITY OF THE LORD:VIGIL	16		O GOD, who makest us glad with the yearly remembrance of the birth of thy only Son Jesus Christ: grant that as we joyfully receive him as our Redeemer, we may with sure confidence behold him when he shall come again to be our Judge; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
NATIVITY OF THE LORD:MIDNIGHT	17		O GOD, who hast caused this most holy night to shine with the brightness of the Light of life: grant, we beseech thee, that as we have known the revelation of his light upon earth, so may we attain his heavenly joys; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
NATIVITY OF THE LORD:DAWN	18		GRANT to us, we beseech thee, Almighty God: that, as thou hast poured forth upon us the new light of thine incarnate Word; so he, who doth illuminate our hearts by faith, may likewise in all our works show forth his brightness; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
NATIVITY OF THE LORD	19		ALMIGHTY God, who hast given us thy Only Begotten Son to take our nature upon him, and as at this time to be born of a pure Virgin: grant that we being regenerate, and made thy children by adoption and grace; may daily be renewed by thy Holy Spirit; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
HOLY FAMILY	20		O LORD Jesus Christ, who by thy wondrous holiness didst adorn a human home, and by thy subjection to Mary and Joseph didst consecrate the order of earthly families: grant that we, being enlightened by the example of their life with thee in thy Holy Family, and assisted by their prayers; may at last be joined with them in thine eternal fellowship; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
CHRISTMAS II	21		ALMIGHTY God, who didst wonderfully create man in thine own image, and didst yet more wonderfully restore him: grant, we beseech thee, that as thy Son our Lord Jesus Christ was made in the likeness of men, so we may be made partakers of the divine nature; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
EPIPHANY OF THE LORD	22		O GOD, who by the leading of a star didst manifest thy Only Begotten Son to the Gentiles: mercifully grant, that we, who know thee now by faith, may be led onward through this earthly life, until we see the vision of thy heavenly glory; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
BAPTISM OF THE LORD	23		HEAVENLY Father, whose blessed Son Jesus Christ did take our nature upon him, and was baptized for our sakes in the river Jordan: mercifully grant that we, being regenerate and made thy children by adoption and grace, may also be partakers of thy Holy Spirit; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
EPIPHANY II	24		ALMIGHTY and everlasting God, who dost govern all things in heaven and earth: mercifully hear the supplications of thy people; and grant us thy peace all the days of our life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
EPIPHANY III	25		ALMIGHTY and everlasting God: mercifully look upon our infirmities; and in all our dangers and necessities, stretch forth thy right hand to help and defend us; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
