Key	PrintedLessonReference	LectorReference	LectorText	PropersID	Y	R	LessonReference	RSVCELessonText	ESVCELessonText	CoverdaleText	BCPLookup	ChronSeq	BookNames_en	BlankColumn
												;;1A		
ADVENT I A 1	Isaiah 2:1-5	Book of Exodus	1 The word which Isaiah the son of Amoz saw concerning Judah and Jerusalem. 2 It shall come to pass in the latter days that the mountain of the house of the LORD shall be established as the highest of the mountains, and shall be raised above the hills; and all the nations shall flow to it, 3 and many peoples shall come, and say: "Come, let us go up to the mountain of the LORD, to the house of the God of Jacob; that he may teach us his ways and that we may walk in his paths." For out of Zion shall go forth the law, and the word of the LORD from Jerusalem. 4 He shall judge between the nations, and shall decide for many peoples; and they shall beat their swords into plowshares, and their spears into pruning hooks; nation shall not lift up sword against nation, neither shall they learn war any more. 5 O house of Jacob, come, let us walk in the light of the LORD.	ADVENT I	A	1	Isaiah 2:1-5	1 The word which Isaiah the son of Amoz saw concerning Judah and Jerusalem. 2 It shall come to pass in the latter days that the mountain of the house of the LORD shall be established as the highest of the mountains, and shall be raised above the hills; and all the nations shall flow to it, 3 and many peoples shall come, and say: "Come, let us go up to the mountain of the LORD, to the house of the God of Jacob; that he may teach us his ways and that we may walk in his paths." For out of Zion shall go forth the law, and the word of the LORD from Jerusalem. 4 He shall judge between the nations, and shall decide for many peoples; and they shall beat their swords into plowshares, and their spears into pruning hooks; nation shall not lift up sword against nation, neither shall they learn war any more. 5 O house of Jacob, come, let us walk in the light of the LORD.				1001	Exodus	
ADVENT I A 2	Psalms 122	Book of Psalms	1 I WAS glad when they said unto me * We will go into the house of the Lord. 2 Our feet shall stand in thy gates * O Jerusalem. 3 Jerusalem is built as a city * that is at unity in itself. 4 For thither the tribes go up, even the tribes of the Lord * to testify unto Israel, to give thanks unto the Name of the Lord. 5 For there is the seat of judgement * even the seat of the house of David. 6 O pray for the peace of Jerusalem * they shall prosper that love thee. 7 Peace be within thy walls * and plenteousness within thy palaces. 8 For my brethren and companions' sakes * I will wish thee prosperity. 9 Yea, because of the house of the Lord our God * I will seek to do thee good.	ADVENT I	A	2	Psalms 122:1-9	1 I was glad when they said to me, "Let us go to the house of the LORD!" 2 Our feet have been standing within your gates, O Jerusalem! 3 Jerusalem, built as a city which is bound firmly together, 4 to which the tribes go up, the tribes of the LORD, as was decreed for Israel, to give thanks to the name of the LORD. 5 There thrones for judgment were set, the thrones of the house of David. 6 Pray for the peace of Jerusalem! "May they prosper who love you! 7 Peace be within your walls, and security within your towers!" 8 For my brethren and companions' sake I will say, "Peace be within you!" 9 For the sake of the house of the LORD our God, I will seek your good.		1 I WAS glad when they said unto me * We will go into the house of the Lord. 2 Our feet shall stand in thy gates * O Jerusalem. 3 Jerusalem is built as a city * that is at unity in itself. 4 For thither the tribes go up, even the tribes of the Lord * to testify unto Israel, to give thanks unto the Name of the Lord. 5 For there is the seat of judgement * even the seat of the house of David. 6 O pray for the peace of Jerusalem * they shall prosper that love thee. 7 Peace be within thy walls * and plenteousness within thy palaces. 8 For my brethren and companions' sakes * I will wish thee prosperity. 9 Yea, because of the house of the Lord our God * I will seek to do thee good.	Psalms122.1|Psalms122.2|Psalms122.3|Psalms122.4|Psalms122.5|Psalms122.6|Psalms122.7|Psalms122.8|Psalms122.9|	1002	Psalms	
ADVENT I A 3	Romans 13:11-14	Epistle of St Paul to the Romans	11 You know what hour it is, how it is full time now for you to wake from sleep. For salvation is nearer to us now than when we first believed; 12 the night is far gone, the day is at hand. Let us then cast off the works of darkness and put on the armor of light; 13 let us conduct ourselves becomingly as in the day, not in reveling and drunkenness, not in debauchery and licentiousness, not in quarreling and jealousy. 14 But put on the Lord Jesus Christ, and make no provision for the flesh, to gratify its desires.	ADVENT I	A	3	Romans 13:11-14	11 You know what hour it is, how it is full time now for you to wake from sleep. For salvation is nearer to us now than when we first believed; 12 the night is far gone, the day is at hand. Let us then cast off the works of darkness and put on the armor of light; 13 let us conduct ourselves becomingly as in the day, not in reveling and drunkenness, not in debauchery and licentiousness, not in quarreling and jealousy. 14 But put on the Lord Jesus Christ, and make no provision for the flesh, to gratify its desires.				1003	Romans	
ADVENT I A 4	Matthew 24:37-44	Gospel of our Lord Jesus Christ according to St Matthew	37 As were the days of Noah, so will be the coming of the Son of man. 38 For as in those days before the flood they were eating and drinking, marrying and giving in marriage, until the day when Noah entered the ark, 39 and they did not know until the flood came and swept them all away, so will be the coming of the Son of man. 40 Then two men will be in the field; one is taken and one is left. 41 Two women will be grinding at the mill; one is taken and one is left. 42 Watch therefore, for you do not know on what day your Lord is coming. 43 But know this, that if the householder had known in what part of the night the thief was coming, he would have watched and would not have let his house be broken into. 44 Therefore you also must be ready; for the Son of man is coming at an hour you do not expect.	ADVENT I	A	4	Matthew 24:37-44	37 As were the days of Noah, so will be the coming of the Son of man. 38 For as in those days before the flood they were eating and drinking, marrying and giving in marriage, until the day when Noah entered the ark, 39 and they did not know until the flood came and swept them all away, so will be the coming of the Son of man. 40 Then two men will be in the field; one is taken and one is left. 41 Two women will be grinding at the mill; one is taken and one is left. 42 Watch therefore, for you do not know on what day your Lord is coming. 43 But know this, that if the householder had known in what part of the night the thief was coming, he would have watched and would not have let his house be broken into. 44 Therefore you also must be ready; for the Son of man is coming at an hour you do not expect.				1004	Matthew	
ADVENT II A 1	Isaiah 11:1-10	Book of the Prophet Isaiah	1 There shall come forth a shoot from the stump of Jesse, and a branch shall grow out of his roots. 2 And the Spirit of the LORD shall rest upon him, the spirit of wisdom and understanding, the spirit of counsel and might, the spirit of knowledge and the fear of the LORD. 3 And his delight shall be in the fear of the LORD. He shall not judge by what his eyes see, or decide by what his ears hear; 4 but with righteousness he shall judge the poor, and decide with equity for the meek of the earth; and he shall smite the earth with the rod of his mouth, and with the breath of his lips he shall slay the wicked. 5 Righteousness shall be the girdle of his waist, and faithfulness the girdle of his loins. 6 The wolf shall dwell with the lamb, and the leopard shall lie down with the kid, and the calf and the lion and the fatling together, and a little child shall lead them. 7 The cow and the bear shall feed; their young shall lie down together; and the lion shall eat straw like the ox. 8 The sucking child shall play over the hole of the asp, and the weaned child shall put his hand on the adder's den. 9 They shall not hurt or destroy in all my holy mountain; for the earth shall be full of the knowledge of the LORD as the waters cover the sea. 10 In that day the root of Jesse shall stand as an ensign to the peoples; him shall the nations seek, and his dwellings shall be glorious.	ADVENT II	A	1	Isaiah 11:1-10	1 There shall come forth a shoot from the stump of Jesse, and a branch shall grow out of his roots. 2 And the Spirit of the LORD shall rest upon him, the spirit of wisdom and understanding, the spirit of counsel and might, the spirit of knowledge and the fear of the LORD. 3 And his delight shall be in the fear of the LORD. He shall not judge by what his eyes see, or decide by what his ears hear; 4 but with righteousness he shall judge the poor, and decide with equity for the meek of the earth; and he shall smite the earth with the rod of his mouth, and with the breath of his lips he shall slay the wicked. 5 Righteousness shall be the girdle of his waist, and faithfulness the girdle of his loins. 6 The wolf shall dwell with the lamb, and the leopard shall lie down with the kid, and the calf and the lion and the fatling together, and a little child shall lead them. 7 The cow and the bear shall feed; their young shall lie down together; and the lion shall eat straw like the ox. 8 The sucking child shall play over the hole of the asp, and the weaned child shall put his hand on the adder's den. 9 They shall not hurt or destroy in all my holy mountain; for the earth shall be full of the knowledge of the LORD as the waters cover the sea. 10 In that day the root of Jesse shall stand as an ensign to the peoples; him shall the nations seek, and his dwellings shall be glorious.				1005	Isaiah	
ADVENT II A 2	Psalms 72	Book of Psalms	1 GIVE the King thy judgements, O God * and thy righteousness unto the King's son. 6 He shall come down like the rain into a fleece of wool * even as the drops that water the earth. 7 In his time shall the righteous flourish * yea, and abundance of peace, so long as the moon endureth. 11 All kings shall fall down before him * all nations shall do him service. 12 For he shall deliver the poor when he crieth * the needy also, and him that hath no helper. 16 There shall be an heap of corn in the earth, high upon the hills * his fruit shall shake like Libanus, and shall be green in the city like grass upon the earth.	ADVENT II	A	2	Psalms 72:1-2,7-8,12-13,17	1 Give the king thy justice, O God, and thy righteousness to the royal son! 6 May he be like rain that falls on the mown grass, like showers that water the earth! 7 In his days may righteousness flourish, and peace abound, till the moon be no more! 11 May all kings fall down before him, all nations serve him! 12 For he delivers the needy when he calls, the poor and him who has no helper. 16 May there be abundance of grain in the land; on the tops of the mountains may it wave; may its fruit be like Lebanon; and may men blossom forth from the cities like the grass of the field!		1 GIVE the King thy judgements, O God * and thy righteousness unto the King's son. 6 He shall come down like the rain into a fleece of wool * even as the drops that water the earth. 7 In his time shall the righteous flourish * yea, and abundance of peace, so long as the moon endureth. 11 All kings shall fall down before him * all nations shall do him service. 12 For he shall deliver the poor when he crieth * the needy also, and him that hath no helper. 16 There shall be an heap of corn in the earth, high upon the hills * his fruit shall shake like Libanus, and shall be green in the city like grass upon the earth.	Psalms72.1|Psalms72.6|Psalms72.7|Psalms72.11|Psalms72.12|Psalms72.16|	1006	Psalms	
ADVENT II A 3	Romans 15:4-9	Epistle of St Paul to the Romans	4 For whatever was written in former days was written for our instruction, that by steadfastness and by the encouragement of the scriptures we might have hope. 5 May the God of steadfastness and encouragement grant you to live in such harmony with one another, in accord with Christ Jesus, 6 that together you may with one voice glorify the God and Father of our Lord Jesus Christ. 7 Welcome one another, therefore, as Christ has welcomed you, for the glory of God. 8 For I tell you that Christ became a servant to the circumcised to show God's truthfulness, in order to confirm the promises given to the patriarchs, 9 and in order that the Gentiles might glorify God for his mercy. As it is written, "Therefore I will praise thee among the Gentiles, and sing to thy name";	ADVENT II	A	3	Romans 15:4-9	4 For whatever was written in former days was written for our instruction, that by steadfastness and by the encouragement of the scriptures we might have hope. 5 May the God of steadfastness and encouragement grant you to live in such harmony with one another, in accord with Christ Jesus, 6 that together you may with one voice glorify the God and Father of our Lord Jesus Christ. 7 Welcome one another, therefore, as Christ has welcomed you, for the glory of God. 8 For I tell you that Christ became a servant to the circumcised to show God's truthfulness, in order to confirm the promises given to the patriarchs, 9 and in order that the Gentiles might glorify God for his mercy. As it is written, "Therefore I will praise thee among the Gentiles, and sing to thy name";				1007	Romans	
ADVENT II A 4	Matthew 3:1-12	Gospel of our Lord Jesus Christ according to St Matthew	1 In those days came John the Baptist, preaching in the wilderness of Judea, 2 "Repent, for the kingdom of heaven is at hand." 3 For this is he who was spoken of by the prophet Isaiah when he said, "The voice of one crying in the wilderness: Prepare the way of the Lord, make his paths straight." 4 Now John wore a garment of camel's hair, and a leather girdle around his waist; and his food was locusts and wild honey. 5 Then went out to him Jerusalem and all Judea and all the region about the Jordan, 6 and they were baptized by him in the river Jordan, confessing their sins. 7 But when he saw many of the Pharisees and Sad'ducees coming for baptism, he said to them, "You brood of vipers! Who warned you to flee from the wrath to come? 8 Bear fruit that befits repentance, 9 and do not presume to say to yourselves, `We have Abraham as our father'; for I tell you, God is able from these stones to raise up children to Abraham. 10 Even now the axe is laid to the root of the trees; every tree therefore that does not bear good fruit is cut down and thrown into the fire. 11 "I baptize you with water for repentance, but he who is coming after me is mightier than I, whose sandals I am not worthy to carry; he will baptize you with the Holy Spirit and with fire. 12 His winnowing fork is in his hand, and he will clear his threshing floor and gather his wheat into the granary, but the chaff he will burn with unquenchable fire."	ADVENT II	A	4	Matthew 3:1-12	1 In those days came John the Baptist, preaching in the wilderness of Judea, 2 "Repent, for the kingdom of heaven is at hand." 3 For this is he who was spoken of by the prophet Isaiah when he said, "The voice of one crying in the wilderness: Prepare the way of the Lord, make his paths straight." 4 Now John wore a garment of camel's hair, and a leather girdle around his waist; and his food was locusts and wild honey. 5 Then went out to him Jerusalem and all Judea and all the region about the Jordan, 6 and they were baptized by him in the river Jordan, confessing their sins. 7 But when he saw many of the Pharisees and Sad'ducees coming for baptism, he said to them, "You brood of vipers! Who warned you to flee from the wrath to come? 8 Bear fruit that befits repentance, 9 and do not presume to say to yourselves, `We have Abraham as our father'; for I tell you, God is able from these stones to raise up children to Abraham. 10 Even now the axe is laid to the root of the trees; every tree therefore that does not bear good fruit is cut down and thrown into the fire. 11 "I baptize you with water for repentance, but he who is coming after me is mightier than I, whose sandals I am not worthy to carry; he will baptize you with the Holy Spirit and with fire. 12 His winnowing fork is in his hand, and he will clear his threshing floor and gather his wheat into the granary, but the chaff he will burn with unquenchable fire."				1008	Matthew	
ADVENT III A 1	Isaiah 35:1-6,10	Book of the Prophet Isaiah	1 The wilderness and the dry land shall be glad, the desert shall rejoice and blossom; like the crocus 2 it shall blossom abundantly, and rejoice with joy and singing. The glory of Lebanon shall be given to it, the majesty of Carmel and Sharon. They shall see the glory of the LORD, the majesty of our God. 3 Strengthen the weak hands, and make firm the feeble knees. 4 Say to those who are of a fearful heart, "Be strong, fear not! Behold, your God will come with vengeance, with the recompense of God. He will come and save you." 5 Then the eyes of the blind shall be opened, and the ears of the deaf unstopped; 6 then shall the lame man leap like a hart, and the tongue of the dumb sing for joy. For waters shall break forth in the wilderness, and streams in the desert; 10 And the ransomed of the LORD shall return, and come to Zion with singing; everlasting joy shall be upon their heads; they shall obtain joy and gladness, and sorrow and sighing shall flee away.	ADVENT III	A	1	Isaiah 35:1-6,10	1 The wilderness and the dry land shall be glad, the desert shall rejoice and blossom; like the crocus 2 it shall blossom abundantly, and rejoice with joy and singing. The glory of Lebanon shall be given to it, the majesty of Carmel and Sharon. They shall see the glory of the LORD, the majesty of our God. 3 Strengthen the weak hands, and make firm the feeble knees. 4 Say to those who are of a fearful heart, "Be strong, fear not! Behold, your God will come with vengeance, with the recompense of God. He will come and save you." 5 Then the eyes of the blind shall be opened, and the ears of the deaf unstopped; 6 then shall the lame man leap like a hart, and the tongue of the dumb sing for joy. For waters shall break forth in the wilderness, and streams in the desert; 10 And the ransomed of the LORD shall return, and come to Zion with singing; everlasting joy shall be upon their heads; they shall obtain joy and gladness, and sorrow and sighing shall flee away.				1009	Isaiah	
