PrayerID	PrayerText
AccessionCollects	O GOD, who providest for thy people by thy power, and rulest over them in love: Vouchsafe so to bless thy Servant CHARLES our King, that under him this nation may be wisely governed, and thy Church may serve thee in all godly quietness; and grant that he being devoted to thee with his whole heart, and persevering in good works unto the end, may, by thy guidance, come to thine everlasting kingdom; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. * Amen.  O LORD our God, who upholdest and governest all things by the word of thy power: Receive our humble prayers for our Sovereign Lord CHARLES, set over us by thy grace and providence to be our King; and, together with him, bless, we beseech thee, CAMILLA Queen Consort, WILLIAM Prince of Wales, and all the Royal Family; that they, ever trusting in thy goodness, protected by thy power, and crowned with thy gracious and endless favour, may long continue before thee in peace and safety, joy and honour, and after death may obtain everlasting life and glory, by the merits and mediation of Christ Jesus our Saviour, who with thee and the Holy Ghost liveth and reigneth ever one God, world without end. * Amen.  O GOD the Father of our Lord Jesus Christ, our only Saviour, the Prince of Peace: Give us grace seriously to lay to heart the great dangers we are in by our unhappy divisions. Take away all hatred and prejudice, and whatsoever else may hinder us from godly union and concord: that, as there is but one Body, and one Spirit, and one hope of our calling, one Lord, one faith, one baptism, one God and Father of us all; so we may henceforth be all of one heart, and of one soul, united in one holy bond of truth and peace, of faith and charity, and may with one mind and one mouth glorify thee; through Jesus Christ our Lord. * Amen.
AccessionDialogue	Accession Suffrages and Collects  O LORD, shew thy mercy upon us. * And grant us thy salvation. O Lord, save the King; * Who putteth his trust in thee. Send him help from thy holy place. * And evermore mightily defend him. Be unto him, O Lord, a strong tower; * From the face of his enemies. Endue thy Ministers with righteousness. * And make thy chosen people joyful. O Lord, save thy people. * And bless thine inheritance. Give peace in our time, O Lord. * Because there is none other that fighteth for us, but only thou, O God. O Lord, hear our prayer; * And let our cry come unto thee.
Angelus	The Angel of the LORD brought tidings to Mary * And she conceived by the Holy Ghost. Hail Mary &c           Behold the handmaid of the Lord. * Be it unto me according to thy word. Hail Mary &c And the Word was made flesh. * And dwelt among us. Hail Mary &c Pray for us O Holy Mother of God * That we may be made worthy of the promises of Christ.
Decalogue	The Decalogue (sung responsively using Willan Mass Setting sheet whilst kneeling) God spake these words, and said: I am the Lord thy God who brought thee out of the land of Egypt ... I-IX. Thou shalt ... * Lord, have mercy upon us, and incline our hearts to keep this law. X. Thou shalt not covet ... * Lord, have mercy upon us, and write all these thy laws in our hearts, we beseech thee.
MarianAnthem-Advent-Candlemas-old	Marian Anthem in Advent: ALMA REDEMPTORIS MATER GRACIOUS MOTHER OF OUR REDEEMER, for ever abiding. Heaven's gateway, and star of ocean, O succour the people, who, though falling, strive to rise again. Thou Maiden who barest thy holy Creator, to the wonder of all nature; Ever Virgin, after, as before thou receivedst that Ave From the mouth of Gabriel; have compassion on us sinners. 
MarianAnthem-Advent-Candlemas	Marian Anthem in Advent through Candlemas: ALMA REDEMPTORIS MATER GRACIOUS MOTHER OF OUR REDEEMER, thou gate leading to heaven and star of the sea; help the falling people who seek to rise, thou who, all nature wondering, didst give birth to thy holy Creator. Virgin always, hearing the greeting from Gabriel’s lips, take pity on sinners.
MarianAnthem-PreLent-Lent	Marian Anthem in Pre-Lent: AVE REGINA CAELORUM HAIL QUEEN OF HEAVEN, hail lady of the angels. Hail, root, hail the door through which the Light of the world is risen. Rejoice, glorious Virgin, beautiful above all. Hail, O very fair one, and plead for us to Christ.
MarianAnthem-Eastertide	Marian Anthem in Eastertide: REGINA CAELI Joy to thee, O QUEEN OF HEAVEN, alleluia. / He whom thou wast meet to bear, alleluia. As he promised, hath arisen, alleluia. / Pour for us to him thy prayer, alleluia.
MarianAnthem-Trinitytide	Marian Anthem in Trinitytide: SALVE REGINA HAIL Holy QUEEN, mother of mercy, hail our life, our sweetness, and our hope. To thee do we cry, poor banished children of Eve. To thee do we send up our sighs, mourning and weeping in this vale of tears. Turn then most gracious advocate, thine eyes of mercy towards us. And after this, our exile, show unto us the blessed fruit of thy womb, Jesus. O clement, o loving, o sweet Virgin Mary.
MarianCollect-Advent	(After the ANGELUS:) Let us pray. Pour forth we beseech Thee, O LORD, Thy grace into our hearts, that we to whom the Incarnation of Christ, Thy Son, was made known by the message of an Angel, may, by His Passion and Cross, be brought to the glory of His Resurrection. Through the same Christ, our Lord. * Amen.
