2027-01-01	Fri	VOE	Mary, Mother of God	Mary, Mother of God
2027-01-02	Sat	VOE	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors
2027-01-03	Sun	VOE	CHRISTMAS II	CHRISTMAS II
2027-01-04	Mon	VOE	4 Jan	4 Jan
2027-01-05	Tue	VOE	5 Jan	5 Jan
2027-01-06	Wed	VOE	EPIPHANY OF THE LORD	EPIPHANY OF THE LORD
2027-01-07	Thu	VOE	7 Jan	7 Jan	St Raymond of Penyafort, Priest
2027-01-08	Fri	VOE	8 Jan	8 Jan
2027-01-09	Sat	VOE	9 Jan	9 Jan
2027-01-10	Sun	VOE	BAPTISM OF THE LORD	BAPTISM OF THE LORD
2027-01-11	Mon	VOE	Epiphanytide I:Mon	Epiphanytide I:Mon
2027-01-12	Tue	VOE	Epiphanytide I:Tue	Epiphanytide I:Tue	St Aelred of Rievaulx, Abbot	St Benet Biscop, Abbot
2027-01-13	Wed	VOE	Epiphanytide I:Wed	Epiphanytide I:Wed	St Kentigern, Bishop	St Hilary of Poitiers, Bishop, Doctor
2027-01-14	Thu	VOE	Epiphanytide I:Thu	Epiphanytide I:Thu
2027-01-15	Fri	VOE	Epiphanytide I:Fri	Epiphanytide I:Fri
2027-01-16	Sat	VOE	Epiphanytide I:Sat	Epiphanytide I:Sat	Saturday memorial of our Lady
2027-01-17	Sun	VOE	EPIPHANY II	EPIPHANY II
2027-01-18	Mon	VOE	Epiphanytide II:Mon	Epiphanytide II:Mon
2027-01-19	Tue	VOE	Epiphanytide II:Tue	Epiphanytide II:Tue	St Wulstan, Bishop, Religious
2027-01-20	Wed	VOE	Epiphanytide II:Wed	Epiphanytide II:Wed	St Fabian, Pope, Martyr	St Sebastian, Martyr
2027-01-21	Thu	VOE	St Agnes, Virgin, Martyr	St Agnes, Virgin, Martyr
2027-01-22	Fri	VOE	Epiphanytide II:Fri	Epiphanytide II:Fri	St Vincent, Deacon, Martyr
2027-01-23	Sat	VOE	Epiphanytide II:Sat	Epiphanytide II:Sat	Saturday memorial of our Lady
